onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.433964	0.792069	city	4	1	0.999123	0.999123	0	1	0	0	CorrectCommission	3.478287	3.478287	0	1
9.226173	0.792351	city	5	1	0.695535	0.695535	0	1	0	0	CorrectCommission	0.235114	3.092829	0	1
10.018427	0.792157	city	8	1	0.794213	0.794213	0	1	0	0	CorrectCommission	1.289276	2.717596	0	1
10.810694	0.792375	mountain	3	1	0.447999	0.447999	0	0	1	0	CommissionError	2.409251	2.361885	0	1
11.602965	0.792168	city	5	1	0.596297	0.596297	0	1	0	0	CorrectCommission	0.825021	2.033428	0	1
12.395177	0.792255	city	7	1	0.546778	0.546778	0	1	0	0	CorrectCommission	1.354023	1.737951	0	1
13.187489	0.792369	city	10	1	0.597669	0.597669	0	1	0	0	CorrectCommission	0.810361	1.478896	0	1
13.979763	0.792180	city	8	1	0.605188	0.605188	0	1	0	0	CorrectCommission	0.730038	1.257485	0	1
14.771974	0.792241	city	9	1	0.645801	0.645801	0	1	0	0	CorrectCommission	0.296181	1.073002	0	1
15.564228	0.792269	city	1	1	0.596335	0.596335	0	1	0	0	CorrectCommission	0.824610	0.923199	0	1
16.356493	0.792260	city	7	1	0.596321	0.596321	0	1	0	0	CorrectCommission	0.824768	0.804747	0	1
17.148758	0.792268	city	9	1	0.699108	0.699108	0	1	0	0	CorrectCommission	0.273286	0.713707	1	1
17.941021	0.792260	city	10	1	0.652917	0.652917	0	1	0	0	CorrectCommission	0.220162	0.645921	1	1
18.733286	0.792268	city	2	1	0.695301	0.695301	0	1	0	0	CorrectCommission	0.232622	0.597307	1	1
19.525660	0.792479	city	6	1	0.698166	0.698166	0	1	0	0	CorrectCommission	0.263221	0.564087	1	1
20.318005	0.792212	city	5	1	0.699681	0.699681	0	1	0	0	CorrectCommission	0.279414	0.542938	1	1
21.110161	0.792103	city	6	1	0.843652	0.843652	0	1	0	0	CorrectCommission	1.817420	0.531037	1	1
21.902348	0.792269	city	9	1	0.660818	0.660818	0	1	0	0	CorrectCommission	0.135757	0.526047	1	1
22.694643	0.792321	mountain	4	0	0.000000	0.639344	1	0	0	0	CorrectOmission	0.365159	0.526110	1	1
23.487013	0.792420	city	10	1	0.695238	0.695238	0	1	0	0	CorrectCommission	0.231950	0.529709	1	1
24.279245	0.792046	city	3	1	0.744510	0.744510	0	1	0	0	CorrectCommission	0.758307	0.535580	1	1
25.071404	0.792268	city	4	1	0.707485	0.707485	0	1	0	0	CorrectCommission	0.362776	0.542574	1	1
25.863722	0.792371	city	1	1	0.695288	0.695288	0	1	0	0	CorrectCommission	0.232483	0.549693	1	1
26.655989	0.792161	city	6	1	0.707088	0.707088	0	1	0	0	CorrectCommission	0.358541	0.556053	1	1
27.448200	0.792261	mountain	6	0	0.000000	0.751200	1	0	0	0	CorrectOmission	0.829775	0.560859	1	1
28.240461	0.792263	mountain	1	0	0.000000	0.779753	1	0	0	0	CorrectOmission	1.134801	0.563465	1	1
29.032726	0.792266	city	3	1	0.744878	0.744878	0	1	0	0	CorrectCommission	0.762234	0.563474	1	1
29.825026	0.792334	city	10	1	0.598704	0.598704	0	1	0	0	CorrectCommission	0.799309	0.560757	1	1
30.617344	0.792303	city	5	1	0.648130	0.648130	0	1	0	0	CorrectCommission	0.271299	0.555424	1	1
31.409628	0.792267	city	3	1	0.711823	0.711823	0	1	0	0	CorrectCommission	0.409116	0.547814	1	1
32.201843	0.792160	city	10	1	0.744866	0.744866	0	1	0	0	CorrectCommission	0.762110	0.538389	1	1
32.994053	0.792264	city	4	1	0.660342	0.660342	0	1	0	0	CorrectCommission	0.140838	0.527662	1	1
33.786316	0.792262	city	2	1	0.647017	0.647017	0	1	0	0	CorrectCommission	0.283192	0.516155	1	1
34.578579	0.792266	city	4	1	0.744912	0.744912	0	1	0	0	CorrectCommission	0.762601	0.504332	1	1
35.370846	0.792264	city	9	1	0.596377	0.596377	0	1	0	0	CorrectCommission	0.824160	0.492586	1	1
36.163162	0.792372	city	3	1	0.695656	0.695656	0	1	0	0	CorrectCommission	0.236406	0.481253	1	1
36.955482	0.792265	city	7	1	0.596125	0.596125	0	1	0	0	CorrectCommission	0.826852	0.470637	1	1
37.747692	0.792156	city	4	1	0.661494	0.661494	0	1	0	0	CorrectCommission	0.128537	0.461012	1	1
38.539959	0.792372	city	9	1	0.645770	0.645770	0	1	0	0	CorrectCommission	0.296506	0.452647	1	1
39.332241	0.792197	city	10	1	0.605408	0.605408	0	1	0	0	CorrectCommission	0.727689	0.445791	1	1
40.124451	0.792223	city	6	1	0.695278	0.695278	0	1	0	0	CorrectCommission	0.232371	0.440724	1	1
40.916695	0.792265	city	8	1	0.714815	0.714815	0	1	0	0	CorrectCommission	0.441087	0.437777	1	1
41.708973	0.792285	city	4	1	0.646302	0.646302	0	1	0	0	CorrectCommission	0.290824	0.437332	1	1
42.501240	0.792249	city	9	1	0.695767	0.695767	0	1	0	0	CorrectCommission	0.237598	0.439880	1	1
43.293495	0.792263	mountain	6	0	0.000000	0.727435	1	0	0	0	CorrectOmission	0.575897	0.446040	1	1
44.085754	0.792261	city	8	1	0.706062	0.706062	0	1	0	0	CorrectCommission	0.347579	0.456555	1	1
44.878017	0.792265	city	7	1	0.596407	0.596407	0	1	0	0	CorrectCommission	0.823848	0.472265	1	1
45.670284	0.792266	city	6	1	0.695341	0.695341	0	1	0	0	CorrectCommission	0.233041	0.493992	1	1
46.462551	0.792266	city	8	1	0.596394	0.596394	0	1	0	0	CorrectCommission	0.823984	0.522421	1	1
47.254871	0.792373	city	9	1	0.695303	0.695303	0	1	0	0	CorrectCommission	0.232636	0.557865	1	1
48.047245	0.792374	city	7	1	0.695147	0.695147	0	1	0	0	CorrectCommission	0.230976	0.600113	1	1
48.839561	0.792263	city	8	1	0.695219	0.695219	0	1	0	0	CorrectCommission	0.231740	0.648225	1	1
49.631718	0.792049	city	10	1	0.695094	0.695094	0	1	0	0	CorrectCommission	0.230403	0.700479	1	1
50.423874	0.792267	mountain	7	0	0.000000	0.718376	1	0	0	0	CorrectOmission	0.479123	0.754421	0	1
51.216141	0.792265	city	10	1	0.744942	0.744942	0	1	0	0	CorrectCommission	0.762919	0.807066	0	1
52.008430	0.792314	city	3	1	0.754667	0.754667	0	1	0	0	CorrectCommission	0.866813	0.855214	0	1
52.800804	0.792429	mountain	7	0	0.000000	0.863733	1	0	0	0	CorrectOmission	2.031941	0.895882	0	1
53.593040	0.792046	city	6	1	0.893110	0.893110	0	1	0	0	CorrectCommission	2.345769	0.926716	0	1
54.385197	0.792267	city	2	1	0.663768	0.663768	0	1	0	0	CorrectCommission	0.104237	0.946333	0	1
55.177570	0.792481	city	7	1	0.546792	0.546792	0	1	0	0	CorrectCommission	1.353866	0.954616	0	1
55.969891	0.792155	city	3	1	0.553587	0.553587	0	1	0	0	CorrectCommission	1.281281	0.952623	0	1
56.762154	0.792374	city	8	1	0.547152	0.547152	0	1	0	0	CorrectCommission	1.350025	0.942497	0	1
