onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.421800	0.795852	city	2	1	0.897435	0.897435	0	1	0	0	CorrectCommission	1.644850	1.644850	0	1
9.217571	0.795691	city	3	1	0.703132	0.703132	0	1	0	0	CorrectCommission	0.216126	1.603041	0	1
10.013320	0.795806	city	2	1	0.499431	0.499431	0	1	0	0	CorrectCommission	1.281708	1.563732	0	1
10.809122	0.795798	city	9	1	0.400447	0.400447	0	1	0	0	CorrectCommission	2.009541	1.529087	0	1
11.604976	0.795908	city	1	1	0.598886	0.598886	0	1	0	0	CorrectCommission	0.550406	1.500745	0	1
12.400777	0.795694	city	10	1	0.950318	0.950318	0	1	0	0	CorrectCommission	2.033704	1.479673	0	1
13.196578	0.795910	mountain	9	0	0.000000	0.868056	1	0	0	0	CorrectOmission	1.428821	1.465970	0	1
13.992382	0.795697	city	5	1	0.616733	0.616733	0	1	0	0	CorrectCommission	0.419176	1.458996	0	1
14.788239	0.796016	city	10	1	0.460985	0.460985	0	1	0	0	CorrectCommission	1.564405	1.457434	0	1
15.584053	0.795614	city	8	1	0.399727	0.399727	0	1	0	0	CorrectCommission	2.014836	1.459420	0	1
16.379799	0.795880	city	9	1	0.502296	0.502296	0	1	0	0	CorrectCommission	1.260636	1.462851	0	1
17.175587	0.795695	city	8	1	0.502262	0.502262	0	1	0	0	CorrectCommission	1.260887	1.465546	0	1
17.971443	0.796017	city	3	1	0.449785	0.449785	0	1	0	0	CorrectCommission	1.646755	1.465545	0	1
18.767244	0.795585	city	9	1	0.402763	0.402763	0	1	0	0	CorrectCommission	1.992511	1.461370	0	1
19.562939	0.795803	city	2	1	0.400286	0.400286	0	1	0	0	CorrectCommission	2.010724	1.452177	0	1
20.358774	0.795871	city	6	1	0.499750	0.499750	0	1	0	0	CorrectCommission	1.279360	1.437887	0	1
21.154575	0.795728	city	4	1	0.549061	0.549061	0	1	0	0	CorrectCommission	0.916771	1.419223	0	1
21.950340	0.795802	city	2	1	0.470194	0.470194	0	1	0	0	CorrectCommission	1.496684	1.397627	0	1
22.746252	0.796023	city	6	1	0.459175	0.459175	0	1	0	0	CorrectCommission	1.577708	1.375018	0	1
23.542057	0.795584	city	2	1	0.399730	0.399730	0	1	0	0	CorrectCommission	2.014815	1.353594	0	1
24.337803	0.795909	city	8	1	0.463317	0.463317	0	1	0	0	CorrectCommission	1.547254	1.335412	0	1
25.133713	0.795910	city	2	1	0.549033	0.549033	0	1	0	0	CorrectCommission	0.916980	1.322007	0	1
25.929459	0.795585	city	5	1	0.607957	0.607957	0	1	0	0	CorrectCommission	0.483703	1.314032	0	1
26.725262	0.796020	city	4	1	0.549161	0.549161	0	1	0	0	CorrectCommission	0.916037	1.310973	0	1
27.521061	0.795581	city	8	1	0.548963	0.548963	0	1	0	0	CorrectCommission	0.917493	1.310988	0	1
28.316755	0.795806	city	4	1	0.598997	0.598997	0	1	0	0	CorrectCommission	0.549590	1.311072	0	1
29.112589	0.795862	city	8	1	0.549167	0.549167	0	1	0	0	CorrectCommission	0.915990	1.307464	0	1
29.908499	0.795957	city	5	1	0.499420	0.499420	0	1	0	0	CorrectCommission	1.281787	1.296113	0	1
30.704268	0.795582	mountain	10	0	0.000000	1.012606	1	0	0	0	CorrectOmission	2.491709	1.273433	0	1
31.500015	0.795909	mountain	3	1	1.356297	1.356297	0	0	1	0	CommissionError	5.018895	1.236950	0	1
32.295818	0.795695	mountain	10	1	0.798065	0.798065	0	0	1	0	CommissionError	0.914171	1.185746	0	1
33.091564	0.795800	city	1	1	0.648809	0.648809	0	1	0	0	CorrectCommission	0.183317	1.120838	0	1
33.887474	0.796020	city	10	1	0.499771	0.499771	0	1	0	0	CorrectCommission	1.279203	1.044949	0	1
34.683281	0.795589	city	4	1	0.598891	0.598891	0	1	0	0	CorrectCommission	0.550368	0.962165	0	1
35.478970	0.795795	city	7	1	0.513392	0.513392	0	1	0	0	CorrectCommission	1.179049	0.877454	0	1
36.274769	0.795803	city	8	1	0.698383	0.698383	0	1	0	0	CorrectCommission	0.181206	0.795945	0	1
37.070610	0.795877	city	5	1	0.653205	0.653205	0	1	0	0	CorrectCommission	0.150993	0.722354	0	1
37.866417	0.795741	city	1	1	0.626698	0.626698	0	1	0	0	CorrectCommission	0.345903	0.660407	1	1
38.662205	0.795828	city	3	1	0.598872	0.598872	0	1	0	0	CorrectCommission	0.550510	0.612484	1	1
39.458054	0.795870	city	4	1	0.648590	0.648590	0	1	0	0	CorrectCommission	0.184930	0.579424	1	1
40.253887	0.795800	city	10	1	0.698468	0.698468	0	1	0	0	CorrectCommission	0.181826	0.560550	1	1
41.049633	0.795692	city	7	1	0.648525	0.648525	0	1	0	0	CorrectCommission	0.185407	0.553847	1	1
41.845379	0.795804	city	2	1	0.648626	0.648626	0	1	0	0	CorrectCommission	0.184664	0.556276	1	1
42.641186	0.795804	city	9	1	0.648645	0.648645	0	1	0	0	CorrectCommission	0.184521	0.564241	1	1
43.437042	0.795907	mountain	9	0	0.000000	0.836840	1	0	0	0	CorrectOmission	1.199291	0.574039	1	1
44.232841	0.795695	city	6	1	0.946946	0.946946	0	1	0	0	CorrectCommission	2.008908	0.582307	1	1
45.028698	0.796018	city	9	1	0.712698	0.712698	0	1	0	0	CorrectCommission	0.286467	0.586420	1	1
45.824535	0.795653	city	6	1	0.698638	0.698638	0	1	0	0	CorrectCommission	0.183081	0.584798	1	1
46.620281	0.795842	city	10	1	0.549631	0.549631	0	1	0	0	CorrectCommission	0.912578	0.576928	1	1
47.416103	0.795801	mountain	4	1	0.499465	0.499465	0	0	1	0	CommissionError	1.281457	0.563343	1	1
48.211853	0.795697	city	1	1	0.747969	0.747969	0	1	0	0	CorrectCommission	0.545817	0.545474	1	1
49.007599	0.795796	city	9	1	0.601486	0.601486	0	1	0	0	CorrectCommission	0.531285	0.525313	1	1
49.803398	0.795802	city	2	1	0.698427	0.698427	0	1	0	0	CorrectCommission	0.181528	0.505159	1	1
50.599220	0.795847	city	7	1	0.698483	0.698483	0	1	0	0	CorrectCommission	0.181942	0.487218	1	1
51.395023	0.795759	city	5	1	0.699077	0.699077	0	1	0	0	CorrectCommission	0.186311	0.473294	1	1
52.190804	0.795802	city	6	1	0.698396	0.698396	0	1	0	0	CorrectCommission	0.181303	0.464612	1	1
52.986660	0.795907	city	1	1	0.652236	0.652236	0	1	0	0	CorrectCommission	0.158120	0.461717	1	1
53.782459	0.795695	city	10	1	0.610962	0.610962	0	1	0	0	CorrectCommission	0.461607	0.464539	1	1
