onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.433769	0.792270	mountain	9	0	0.000000	0.742305	1	0	0	0	CorrectOmission	0.588716	0.588716	1	1
9.226037	0.792265	city	3	1	0.650995	0.650995	0	1	0	0	CorrectCommission	0.608524	0.575204	1	1
10.018321	0.792304	city	5	1	0.559686	0.559686	0	1	0	0	CorrectCommission	1.805765	0.561817	1	1
10.810584	0.792221	city	4	1	0.645929	0.645929	0	1	0	0	CorrectCommission	0.674952	0.548733	1	1
11.602828	0.792267	city	2	1	0.695350	0.695350	0	1	0	0	CorrectCommission	0.026944	0.536330	1	1
12.395205	0.792487	city	10	1	0.697899	0.697899	0	1	0	0	CorrectCommission	0.006474	0.525120	1	1
13.187523	0.792149	city	1	1	0.697836	0.697836	0	1	0	0	CorrectCommission	0.005655	0.515767	1	1
13.979710	0.792225	city	7	1	0.794569	0.794569	0	1	0	0	CorrectCommission	1.274001	0.509036	1	1
14.772029	0.792414	city	3	1	0.758114	0.758114	0	1	0	0	CorrectCommission	0.796007	0.505654	1	1
15.564272	0.792072	city	8	1	0.695122	0.695122	0	1	0	0	CorrectCommission	0.029937	0.506276	1	1
16.356430	0.792243	city	9	1	0.744902	0.744902	0	1	0	0	CorrectCommission	0.622778	0.511414	1	1
17.148695	0.792288	city	4	1	0.711828	0.711828	0	1	0	0	CorrectCommission	0.189108	0.521304	1	1
17.941067	0.792457	city	6	1	0.705506	0.705506	0	1	0	0	CorrectCommission	0.106218	0.535923	1	1
18.733341	0.792092	city	4	1	0.711944	0.711944	0	1	0	0	CorrectCommission	0.190634	0.554963	1	1
19.525551	0.792327	city	7	1	0.645961	0.645961	0	1	0	0	CorrectCommission	0.674535	0.577867	1	1
20.317848	0.792264	city	5	1	0.596136	0.596136	0	1	0	0	CorrectCommission	1.327833	0.603898	1	1
21.110060	0.792159	city	10	1	0.613017	0.613017	0	1	0	0	CorrectCommission	1.106489	0.632190	1	1
21.902288	0.792301	city	7	1	0.695410	0.695410	0	1	0	0	CorrectCommission	0.026165	0.661878	1	1
22.694551	0.792224	city	10	1	0.695267	0.695267	0	1	0	0	CorrectCommission	0.028038	0.692135	1	1
23.486851	0.792375	city	4	1	0.764370	0.764370	0	1	0	0	CorrectCommission	0.878034	0.722182	1	1
24.279224	0.792373	city	3	1	0.599274	0.599274	0	1	0	0	CorrectCommission	1.286687	0.751336	1	1
25.071438	0.792052	city	1	1	0.645565	0.645565	0	1	0	0	CorrectCommission	0.679725	0.778995	0	1
25.863617	0.792307	city	8	1	0.652539	0.652539	0	1	0	0	CorrectCommission	0.588286	0.804644	0	1
26.655895	0.792251	city	3	1	0.561869	0.561869	0	1	0	0	CorrectCommission	1.777136	0.827791	0	1
27.448160	0.792279	city	2	1	0.660062	0.660062	0	1	0	0	CorrectCommission	0.489638	0.847891	0	1
28.240408	0.792217	city	1	1	0.653133	0.653133	0	1	0	0	CorrectCommission	0.580492	0.864420	0	1
29.032650	0.792265	city	2	1	0.610384	0.610384	0	1	0	0	CorrectCommission	1.141005	0.876726	0	1
29.825024	0.792483	city	8	1	0.645913	0.645913	0	1	0	0	CorrectCommission	0.675158	0.884073	0	1
30.617313	0.792096	city	2	1	0.695373	0.695373	0	1	0	0	CorrectCommission	0.026646	0.885735	0	1
31.409576	0.792434	city	9	1	0.563376	0.563376	0	1	0	0	CorrectCommission	1.757379	0.881059	0	1
