onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.433737	0.792265	city	10	1	0.605588	0.605588	0	1	0	0	CorrectCommission	0.912266	0.912266	0	0
9.226027	0.792315	mountain	8	1	0.546762	0.546762	0	0	1	0	CommissionError	1.687090	0.872526	0	0
10.018296	0.792225	city	8	1	0.695239	0.695239	0	1	0	0	CorrectCommission	0.268562	0.832159	0	0
10.810537	0.792257	mountain	3	0	0.000000	0.685246	1	0	0	0	CorrectOmission	0.136947	0.790757	0	0
11.602798	0.792264	city	1	1	0.606017	0.606017	0	1	0	0	CorrectCommission	0.906617	0.748210	1	0
12.395171	0.792483	city	4	1	0.546784	0.546784	0	1	0	0	CorrectCommission	1.686806	0.704856	1	0
13.187437	0.792049	city	5	1	0.596205	0.596205	0	1	0	0	CorrectCommission	1.035857	0.661537	1	0
13.979593	0.792265	mountain	9	0	0.000000	0.631222	1	0	0	0	CorrectOmission	0.574637	0.619572	1	0
14.771856	0.792261	city	9	1	0.652327	0.652327	0	1	0	0	CorrectCommission	0.296647	0.580603	1	0
15.564143	0.792314	city	4	1	0.660015	0.660015	0	1	0	0	CorrectCommission	0.195388	0.546414	1	0
16.356451	0.792300	city	1	1	0.695270	0.695270	0	1	0	0	CorrectCommission	0.268977	0.518680	1	0
17.148691	0.792183	mountain	9	0	0.000000	0.675638	1	0	0	0	CorrectOmission	0.010395	0.498720	1	0
17.940914	0.792262	city	2	1	0.645822	0.645822	0	1	0	0	CorrectCommission	0.382323	0.487322	1	0
18.733177	0.792265	city	5	1	0.650526	0.650526	0	1	0	0	CorrectCommission	0.320369	0.484601	1	0
19.525454	0.792286	city	3	1	0.648815	0.648815	0	1	0	0	CorrectCommission	0.342909	0.489988	1	0
20.317719	0.792243	city	8	1	0.695276	0.695276	0	1	0	0	CorrectCommission	0.269055	0.502285	1	0
21.109974	0.792270	city	10	1	0.603758	0.603758	0	1	0	0	CorrectCommission	0.936372	0.519798	1	0
21.902250	0.792281	city	2	1	0.657763	0.657763	0	1	0	0	CorrectCommission	0.225043	0.540513	1	0
22.694513	0.792245	city	3	1	0.695284	0.695284	0	1	0	0	CorrectCommission	0.269152	0.562316	1	0
23.486769	0.792269	city	8	1	0.596250	0.596250	0	1	0	0	CorrectCommission	1.035262	0.583142	1	0
24.279036	0.792264	city	5	1	0.596339	0.596339	0	1	0	0	CorrectCommission	1.034094	0.601147	1	0
25.071354	0.792370	city	2	1	0.598913	0.598913	0	1	0	0	CorrectCommission	1.000196	0.614881	1	0
25.863651	0.792227	city	4	1	0.645991	0.645991	0	1	0	0	CorrectCommission	0.380101	0.623292	1	0
26.655861	0.792194	city	5	1	0.661783	0.661783	0	1	0	0	CorrectCommission	0.172094	0.625771	1	0
27.448092	0.792265	city	2	1	0.599588	0.599588	0	1	0	0	CorrectCommission	0.991301	0.622167	1	0
28.240463	0.792482	city	1	1	0.608266	0.608266	0	1	0	0	CorrectCommission	0.876995	0.612710	1	0
29.032784	0.792156	mountain	9	1	0.608073	0.608073	0	0	1	0	CommissionError	0.879536	0.598040	1	0
29.824993	0.792265	city	1	1	0.695235	0.695235	0	1	0	0	CorrectCommission	0.268515	0.579094	1	0
30.617313	0.792374	city	8	1	0.611527	0.611527	0	1	0	0	CorrectCommission	0.834039	0.557135	1	0
31.409634	0.792265	city	3	1	0.612397	0.612397	0	1	0	0	CorrectCommission	0.822584	0.533621	1	0
32.201897	0.792264	city	9	1	0.695083	0.695083	0	1	0	0	CorrectCommission	0.266513	0.510166	1	0
32.994053	0.792050	city	8	1	0.695035	0.695035	0	1	0	0	CorrectCommission	0.265883	0.488433	1	0
33.786209	0.792261	city	9	1	0.645791	0.645791	0	1	0	0	CorrectCommission	0.382739	0.469989	1	0
34.578472	0.792266	city	5	1	0.646336	0.646336	0	1	0	0	CorrectCommission	0.375555	0.456191	1	0
35.370846	0.792482	city	9	1	0.645947	0.645947	0	1	0	0	CorrectCommission	0.380684	0.448067	1	0
