onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.433918	0.792482	city	4	1	0.794436	0.794436	0	1	0	0	CorrectCommission	1.257189	1.257189	0	0
9.226292	0.792265	mountain	10	1	0.603122	0.603122	0	0	1	0	CommissionError	0.693570	1.172221	0	0
10.018447	0.792047	city	1	1	0.596382	0.596382	0	1	0	0	CorrectCommission	0.762300	1.090313	0	0
10.810658	0.792374	city	6	1	0.744799	0.744799	0	1	0	0	CorrectCommission	0.751055	1.014100	0	0
11.603031	0.792373	city	5	1	0.657448	0.657448	0	1	0	0	CorrectCommission	0.139632	0.945498	0	0
12.395253	0.792071	city	2	1	0.657932	0.657932	0	1	0	0	CorrectCommission	0.134698	0.885516	0	0
13.187409	0.792242	city	3	1	0.599400	0.599400	0	1	0	0	CorrectCommission	0.731523	0.834223	0	0
13.979772	0.792480	city	7	1	0.546769	0.546769	0	1	0	0	CorrectCommission	1.268183	0.790865	0	0
14.772052	0.792082	city	10	1	0.546668	0.546668	0	1	0	0	CorrectCommission	1.269211	0.754109	0	0
15.564211	0.792235	mountain	9	0	0.000000	0.579327	1	0	0	0	CorrectOmission	0.936205	0.722352	0	0
16.356461	0.792264	city	7	1	0.612634	0.612634	0	1	0	0	CorrectCommission	0.596588	0.693951	1	0
17.148737	0.792290	city	3	1	0.614478	0.614478	0	1	0	0	CorrectCommission	0.577786	0.667432	1	0
17.941002	0.792239	mountain	10	0	0.000000	0.697659	1	0	0	0	CorrectOmission	0.270382	0.641592	1	0
18.733360	0.792479	city	3	1	0.758972	0.758972	0	1	0	0	CorrectCommission	0.895570	0.615566	1	0
19.525732	0.792265	city	5	1	0.695212	0.695212	0	1	0	0	CorrectCommission	0.245435	0.588796	1	0
20.317997	0.792266	city	4	1	0.711501	0.711501	0	1	0	0	CorrectCommission	0.411523	0.561061	1	0
21.110153	0.792044	city	7	1	0.759215	0.759215	0	1	0	0	CorrectCommission	0.898051	0.532409	1	0
21.902308	0.792265	city	2	1	0.744812	0.744812	0	1	0	0	CorrectCommission	0.751186	0.503143	1	0
22.694628	0.792376	mountain	1	0	0.000000	0.732298	1	0	0	0	CorrectOmission	0.623589	0.473831	1	0
23.486893	0.792155	city	8	1	0.695178	0.695178	0	1	0	0	CorrectCommission	0.245090	0.445290	1	0
24.279102	0.792264	city	3	1	0.606956	0.606956	0	1	0	0	CorrectCommission	0.654482	0.418519	1	0
25.071367	0.792266	city	6	1	0.695315	0.695315	0	1	0	0	CorrectCommission	0.246485	0.394610	1	0
25.863743	0.792484	city	7	1	0.666598	0.666598	0	1	0	0	CorrectCommission	0.046333	0.374676	1	0
26.656116	0.792265	city	10	1	0.645753	0.645753	0	1	0	0	CorrectCommission	0.258880	0.359724	1	0
27.448380	0.792263	city	7	1	0.662865	0.662865	0	1	0	0	CorrectCommission	0.084393	0.350551	1	0
28.240644	0.792265	city	8	1	0.695096	0.695096	0	1	0	0	CorrectCommission	0.244251	0.347655	1	0
29.032801	0.792048	city	4	1	0.645906	0.645906	0	1	0	0	CorrectCommission	0.257321	0.351175	1	0
29.825012	0.792373	city	8	1	0.695561	0.695561	0	1	0	0	CorrectCommission	0.248994	0.360889	1	0
30.617329	0.792263	city	5	1	0.645997	0.645997	0	1	0	0	CorrectCommission	0.256389	0.376216	1	0
31.409594	0.792266	city	1	1	0.611676	0.611676	0	1	0	0	CorrectCommission	0.606349	0.396262	1	0
32.201805	0.792156	mountain	10	0	0.000000	0.617567	1	0	0	0	CorrectOmission	0.546285	0.419867	1	0
32.994015	0.792268	city	7	1	0.649992	0.649992	0	1	0	0	CorrectCommission	0.215654	0.445694	1	0
33.786282	0.792265	city	10	1	0.695276	0.695276	0	1	0	0	CorrectCommission	0.246085	0.472304	1	0
34.578598	0.792369	city	1	1	0.658311	0.658311	0	1	0	0	CorrectCommission	0.130829	0.498204	1	0
35.370972	0.792375	city	5	1	0.744698	0.744698	0	1	0	0	CorrectCommission	0.750027	0.521980	1	0
36.163208	0.792101	city	2	1	0.794882	0.794882	0	1	0	0	CorrectCommission	1.261733	0.542325	1	0
36.955421	0.792321	city	9	1	0.745317	0.745317	0	1	0	0	CorrectCommission	0.756339	0.558182	1	0
37.747658	0.792158	city	5	1	0.707340	0.707340	0	1	0	0	CorrectCommission	0.369099	0.568802	1	0
38.539978	0.792479	mountain	2	0	0.000000	0.742499	1	0	0	0	CorrectOmission	0.727598	0.573791	1	0
39.332352	0.792267	city	4	1	0.744934	0.744934	0	1	0	0	CorrectCommission	0.752430	0.573115	1	0
40.124512	0.792051	city	5	1	0.608787	0.608787	0	1	0	0	CorrectCommission	0.635809	0.567162	1	0
40.916664	0.792258	city	2	1	0.646824	0.646824	0	1	0	0	CorrectCommission	0.247956	0.556722	1	0
41.708927	0.792269	city	1	1	0.705398	0.705398	0	1	0	0	CorrectCommission	0.349295	0.542960	1	0
42.501247	0.792369	city	4	1	0.794321	0.794321	0	1	0	0	CorrectCommission	1.256011	0.527446	1	0
43.293564	0.792266	city	9	1	0.751897	0.751897	0	1	0	0	CorrectCommission	0.823427	0.512113	1	0
44.085831	0.792265	city	8	1	0.645578	0.645578	0	1	0	0	CorrectCommission	0.260663	0.499241	1	0
44.878044	0.792160	city	1	1	0.645616	0.645616	0	1	0	0	CorrectCommission	0.260283	0.491353	1	0
45.670254	0.792258	mountain	4	0	0.000000	0.680518	1	0	0	0	CorrectOmission	0.095602	0.491049	1	0
46.462540	0.792318	city	1	1	0.709161	0.709161	0	1	0	0	CorrectCommission	0.387663	0.500814	1	0
47.254818	0.792238	mountain	10	0	0.000000	0.690420	1	0	0	0	CorrectOmission	0.196575	0.522748	1	0
48.047058	0.792242	city	8	1	0.645699	0.645699	0	1	0	0	CorrectCommission	0.259430	0.558357	1	0
48.839317	0.792279	city	5	1	0.596400	0.596400	0	1	0	0	CorrectCommission	0.762116	0.608253	1	0
49.631588	0.792258	city	6	1	0.646775	0.646775	0	1	0	0	CorrectCommission	0.248456	0.672014	1	0
50.423847	0.792259	city	8	1	0.596215	0.596215	0	1	0	0	CorrectCommission	0.764002	0.748034	0	0
51.216106	0.792265	city	4	1	0.662444	0.662444	0	1	0	0	CorrectCommission	0.088691	0.833491	0	0
52.008392	0.792307	city	9	1	0.646784	0.646784	0	1	0	0	CorrectCommission	0.248364	0.924572	0	0
52.800766	0.792435	city	4	1	0.645866	0.645866	0	1	0	0	CorrectCommission	0.257730	1.016753	0	0
53.593060	0.792154	city	10	1	0.548077	0.548077	0	1	0	0	CorrectCommission	1.254847	1.105287	0	0
54.385216	0.792157	city	6	1	0.497099	0.497099	0	1	0	0	CorrectCommission	1.774648	1.185733	0	0
55.177437	0.792284	city	4	1	0.349372	0.349372	0	1	0	0	CorrectCommission	3.280975	1.254513	0	0
55.969700	0.792245	city	7	1	0.349597	0.349597	0	1	0	0	CorrectCommission	3.278680	1.309220	0	0
56.761959	0.792270	mountain	4	0	0.000000	0.580246	1	0	0	0	CorrectOmission	0.926831	1.348854	0	0
57.554333	0.792478	city	3	1	0.794458	0.794458	0	1	0	0	CorrectCommission	1.257412	1.373712	0	0
58.346611	0.792083	city	5	1	0.745371	0.745371	0	1	0	0	CorrectCommission	0.756890	1.385010	0	0
59.138767	0.792227	city	9	1	0.744778	0.744778	0	1	0	0	CorrectCommission	0.750839	1.384482	0	0
59.931015	0.792268	mountain	6	0	0.000000	0.801198	1	0	0	0	CorrectOmission	1.326138	1.373883	0	0
60.723282	0.792262	mountain	2	0	0.000000	0.854321	1	0	0	0	CorrectOmission	1.867809	1.354630	0	0
61.515545	0.792266	city	2	1	0.843834	0.843834	0	1	0	0	CorrectCommission	1.760876	1.327619	0	0
62.307812	0.792271	city	10	1	0.709425	0.709425	0	1	0	0	CorrectCommission	0.390363	1.293216	0	0
63.100132	0.792365	city	7	1	0.794305	0.794305	0	1	0	0	CorrectCommission	1.255846	1.251487	0	0
63.892391	0.792158	city	1	1	0.744645	0.744645	0	1	0	0	CorrectCommission	0.749485	1.202398	0	0
64.684654	0.792371	city	10	1	0.992395	0.992395	0	1	0	0	CorrectCommission	3.275699	1.146238	0	0
65.476952	0.792216	city	6	1	0.897532	0.897532	0	1	0	0	CorrectCommission	2.308416	1.083756	0	0
66.269272	0.792423	city	8	1	0.744697	0.744697	0	1	0	0	CorrectCommission	0.750015	1.016397	0	0
67.061539	0.792113	city	1	1	0.695086	0.695086	0	1	0	0	CorrectCommission	0.244152	0.946200	0	0
67.853706	0.792217	city	10	1	0.717361	0.717361	0	1	0	0	CorrectCommission	0.471282	0.875561	0	1
68.645958	0.792294	city	9	1	0.695307	0.695307	0	1	0	0	CorrectCommission	0.246401	0.806947	0	1
69.438271	0.792326	city	6	1	0.645887	0.645887	0	1	0	0	CorrectCommission	0.257512	0.742595	0	1
70.230515	0.792159	city	10	1	0.596629	0.596629	0	1	0	0	CorrectCommission	0.759786	0.684278	1	1
71.022720	0.792265	city	3	1	0.646516	0.646516	0	1	0	0	CorrectCommission	0.251106	0.633159	1	1
71.815041	0.792372	city	5	1	0.794331	0.794331	0	1	0	0	CorrectCommission	1.256116	0.589793	1	1
72.607307	0.792158	city	6	1	0.695818	0.695818	0	1	0	0	CorrectCommission	0.251610	0.554197	1	1
73.399521	0.792265	city	4	1	0.596208	0.596208	0	1	0	0	CorrectCommission	0.764077	0.526089	1	1
74.191833	0.792370	city	9	1	0.695390	0.695390	0	1	0	0	CorrectCommission	0.247251	0.505071	1	1
74.984116	0.792193	mountain	7	0	0.000000	0.693910	1	0	0	0	CorrectOmission	0.232153	0.490774	1	1
75.776329	0.792227	city	3	1	0.646062	0.646062	0	1	0	0	CorrectCommission	0.255736	0.482993	1	1
76.568581	0.792275	city	8	1	0.606142	0.606142	0	1	0	0	CorrectCommission	0.662782	0.481728	1	1
77.360847	0.792255	city	5	1	0.695273	0.695273	0	1	0	0	CorrectCommission	0.246051	0.487120	1	1
78.153214	0.792482	city	9	1	0.597243	0.597243	0	1	0	0	CorrectCommission	0.753519	0.499427	1	1
78.945534	0.792155	city	1	1	0.646094	0.646094	0	1	0	0	CorrectCommission	0.255410	0.518814	1	1
79.737694	0.792178	city	2	1	0.596561	0.596561	0	1	0	0	CorrectCommission	0.760479	0.545262	1	1
80.529961	0.792352	city	1	1	0.695249	0.695249	0	1	0	0	CorrectCommission	0.245812	0.578319	1	1
81.322212	0.792156	mountain	1	0	0.000000	0.698564	1	0	0	0	CorrectOmission	0.279609	0.617032	1	1
82.114426	0.792265	city	5	1	0.650797	0.650797	0	1	0	0	CorrectCommission	0.207446	0.659791	1	1
82.906693	0.792269	city	1	1	0.596244	0.596244	0	1	0	0	CorrectCommission	0.763711	0.704433	1	1
83.698959	0.792260	city	6	1	0.707190	0.707190	0	1	0	0	CorrectCommission	0.367564	0.748398	0	1
84.491325	0.792484	city	10	1	0.645727	0.645727	0	1	0	0	CorrectCommission	0.259147	0.788950	0	1
85.283646	0.792156	mountain	3	0	0.000000	0.815892	1	0	0	0	CorrectOmission	1.475964	0.823486	0	1
86.075806	0.792158	city	6	1	0.955319	0.955319	0	1	0	0	CorrectCommission	2.897651	0.849845	0	1
86.868019	0.792262	city	7	1	0.801642	0.801642	0	1	0	0	CorrectCommission	1.330666	0.866547	0	1
87.660332	0.792373	city	3	1	0.744754	0.744754	0	1	0	0	CorrectCommission	0.750597	0.872995	0	1
88.452599	0.792159	city	10	1	0.646929	0.646929	0	1	0	0	CorrectCommission	0.246892	0.869427	0	1
89.244919	0.792481	city	6	1	0.744801	0.744801	0	1	0	0	CorrectCommission	0.751071	0.856818	0	1
90.037186	0.792047	city	5	1	0.697579	0.697579	0	1	0	0	CorrectCommission	0.269571	0.836722	0	1
90.829338	0.792268	mountain	7	0	0.000000	0.788995	1	0	0	0	CorrectOmission	1.201705	0.811082	0	1
91.621605	0.792260	city	6	1	0.845934	0.845934	0	1	0	0	CorrectCommission	1.782290	0.782011	0	1
92.413925	0.792376	city	7	1	0.695281	0.695281	0	1	0	0	CorrectCommission	0.246141	0.751630	0	1
93.206200	0.792175	city	1	1	0.558098	0.558098	0	1	0	0	CorrectCommission	1.152666	0.721976	0	1
93.998405	0.792244	city	3	1	0.695493	0.695493	0	1	0	0	CorrectCommission	0.248299	0.694780	1	1
94.790665	0.792267	city	1	1	0.651662	0.651662	0	1	0	0	CorrectCommission	0.198632	0.671471	1	1
95.582985	0.792371	city	5	1	0.744805	0.744805	0	1	0	0	CorrectCommission	0.751111	0.653028	1	1
96.375244	0.792155	mountain	3	0	0.000000	0.719539	1	0	0	0	CorrectOmission	0.493484	0.639944	1	1
97.167465	0.792288	city	8	1	0.658976	0.658976	0	1	0	0	CorrectCommission	0.124048	0.632251	1	1
97.959732	0.792245	city	7	1	0.646230	0.646230	0	1	0	0	CorrectCommission	0.254018	0.629546	1	1
98.751984	0.792261	mountain	10	1	0.843718	0.843718	0	0	1	0	CommissionError	1.759699	0.631066	1	1
99.544250	0.792265	city	5	1	0.652856	0.652856	0	1	0	0	CorrectCommission	0.186456	0.635820	1	1
100.336548	0.792329	city	9	1	0.653216	0.653216	0	1	0	0	CorrectCommission	0.182785	0.642783	1	1
101.128845	0.792265	city	8	1	0.555759	0.555759	0	1	0	0	CorrectCommission	1.176520	0.650957	1	1
101.921074	0.792205	city	6	1	0.596821	0.596821	0	1	0	0	CorrectCommission	0.757828	0.659503	1	1
102.713310	0.792266	city	2	1	0.613059	0.613059	0	1	0	0	CorrectCommission	0.592247	0.667843	1	1
103.505592	0.792294	city	6	1	0.713521	0.713521	0	1	0	0	CorrectCommission	0.432119	0.675679	1	1
104.297852	0.792230	city	3	1	0.745384	0.745384	0	1	0	0	CorrectCommission	0.757017	0.683027	1	1
105.090103	0.792274	city	4	1	0.757145	0.757145	0	1	0	0	CorrectCommission	0.876940	0.690165	1	1
