onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	Reward_trial
8.433861	0.792374	city	5	1	0.696499	0.696499	0	1	0	0	CorrectCommission	0.228436	0.228436	1	1
9.226128	0.792159	city	1	1	0.645622	0.645622	0	1	0	0	CorrectCommission	1.001264	0.294367	1	1
10.018447	0.792481	city	2	1	0.695337	0.695337	0	1	0	0	CorrectCommission	0.246086	0.358995	1	1
10.810716	0.792056	city	3	1	0.746065	0.746065	0	1	0	0	CorrectCommission	0.524486	0.421111	1	1
11.611126	0.808763	city	8	1	0.761304	0.761304	0	1	0	0	CorrectCommission	0.755965	0.479657	1	1
12.411659	0.792304	mountain	7	0	0.000000	0.755595	1	0	0	0	CorrectOmission	0.669241	0.533790	1	1
13.203959	0.792295	city	9	1	0.744778	0.744778	0	1	0	0	CorrectCommission	0.504935	0.582895	1	1
13.996203	0.792194	city	4	1	0.744695	0.744695	0	1	0	0	CorrectCommission	0.503674	0.626517	1	1
14.788486	0.792372	mountain	2	0	0.000000	0.749288	1	0	0	0	CorrectOmission	0.573448	0.664350	1	1
15.580857	0.792372	city	5	1	0.762147	0.762147	0	1	0	0	CorrectCommission	0.768773	0.696195	1	1
16.373177	0.792266	mountain	2	0	0.000000	0.786860	1	0	0	0	CorrectOmission	1.144164	0.721916	1	1
17.165333	0.792048	city	5	1	0.794209	0.794209	0	1	0	0	CorrectCommission	1.255791	0.741426	0	1
17.957489	0.792262	city	10	1	0.754975	0.754975	0	1	0	0	CorrectCommission	0.659825	0.754695	0	1
18.749754	0.792268	mountain	10	1	0.744780	0.744780	0	0	1	0	CommissionError	0.504958	0.761755	0	1
19.542019	0.792264	mountain	7	0	0.000000	0.744541	1	0	0	0	CorrectOmission	0.501338	0.762740	0	1
20.334337	0.792373	city	10	1	0.761140	0.761140	0	1	0	0	CorrectCommission	0.753474	0.757907	0	1
21.126656	0.792264	city	1	1	0.801455	0.801455	0	1	0	0	CorrectCommission	1.365873	0.747709	0	1
21.918869	0.792160	city	10	1	0.801017	0.801017	0	1	0	0	CorrectCommission	1.359218	0.732801	0	1
