onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.652917	1.279565	city	2	1	1.304114	1.304114	0	1	0	0	CorrectCommission	0.278925	0.278925	1	0	80
1.932496	1.279593	city	9	1	1.442234	1.442234	0	1	0	0	CorrectCommission	0.172466	0.344098	1	0	80
3.212084	1.279582	city	5	1	1.195486	1.195486	0	1	0	0	CorrectCommission	0.633934	0.407216	1	0	80
4.491664	1.279580	city	8	1	0.984433	0.984433	0	1	0	0	CorrectCommission	1.323678	0.466541	1	0	80
5.771246	1.279583	city	3	1	1.027214	1.027214	0	1	0	0	CorrectCommission	1.183863	0.520900	1	0	80
7.077483	1.332891	city	8	1	1.047754	1.047754	0	1	0	0	CorrectCommission	1.116737	0.569772	1	0	80
8.383717	1.279576	mountain	4	0	0.000000	1.210205	1	0	0	0	CorrectOmission	0.585830	0.613198	1	0	80
9.663296	1.279583	city	7	1	1.355725	1.355725	0	1	0	0	CorrectCommission	0.110252	0.651591	1	0	80
10.942876	1.279577	mountain	2	0	0.000000	1.325476	1	0	0	0	CorrectOmission	0.209112	0.685444	1	0	80
12.222455	1.279581	mountain	7	1	1.282241	1.282241	0	0	1	0	CommissionError	0.350407	0.715022	1	0	80
13.502034	1.279578	city	7	1	1.388808	1.388808	0	1	0	0	CorrectCommission	0.002135	0.740186	0	0	80
14.794944	1.306241	city	8	1	1.039833	1.039833	0	1	0	0	CorrectCommission	1.142623	0.760372	0	0	80
16.087851	1.279574	city	10	1	0.914612	0.914612	0	1	0	0	CorrectCommission	1.551859	0.774639	0	0	80
17.367422	1.279566	city	3	1	0.969019	0.969019	0	1	0	0	CorrectCommission	1.374052	0.781958	0	0	80
18.647001	1.279593	city	8	1	1.017236	1.017236	0	1	0	0	CorrectCommission	1.216472	0.781482	0	0	80
19.926586	1.279577	city	5	1	1.122296	1.122296	0	1	0	0	CorrectCommission	0.873124	0.772779	0	0	80
21.206106	1.279462	city	10	1	1.262152	1.262152	0	1	0	0	CorrectCommission	0.416059	0.756023	0	0	80
22.485685	1.279698	city	6	1	1.602364	1.602364	0	1	0	0	CorrectCommission	0.695790	0.732043	1	0	80
23.765324	1.279578	city	7	1	1.868188	1.868188	0	1	0	0	CorrectCommission	1.564532	0.702235	1	0	80
25.044899	1.279573	city	1	0	0.000000	1.581777	0	0	0	1	OmissionError	0.628509	0.668409	1	0	80
26.324358	1.279343	city	10	1	1.256866	1.256866	0	1	0	0	CorrectCommission	0.433335	0.632553	1	0	80
27.603935	1.279811	city	6	1	1.407191	1.407191	0	1	0	0	CorrectCommission	0.057944	0.596551	1	0	80
28.883646	1.279611	city	8	1	1.228934	1.228934	0	1	0	0	CorrectCommission	0.524619	0.562008	1	0	80
30.163231	1.279558	city	6	1	1.526610	1.526610	0	1	0	0	CorrectCommission	0.448217	0.530042	1	0	80
31.442799	1.279579	mountain	4	0	0.000000	1.515187	1	0	0	0	CorrectOmission	0.410887	0.501320	1	0	80
32.722378	1.279578	city	1	1	1.388872	1.388872	0	1	0	0	CorrectCommission	0.001925	0.476052	1	0	80
34.001953	1.279576	city	4	1	1.341870	1.341870	0	1	0	0	CorrectCommission	0.155532	0.454177	1	0	80
35.281521	1.279560	city	7	1	1.035126	1.035126	0	1	0	0	CorrectCommission	1.158006	0.435545	1	0	80
36.561104	1.279606	city	10	1	1.068669	1.068669	0	1	0	0	CorrectCommission	1.048384	0.420104	1	0	80
37.840687	1.279556	city	3	1	1.340372	1.340372	0	1	0	0	CorrectCommission	0.160427	0.408069	1	0	80
39.120262	1.279600	city	7	1	1.302519	1.302519	0	1	0	0	CorrectCommission	0.284135	0.399936	1	0	80
40.399830	1.279530	city	10	1	1.282336	1.282336	0	1	0	0	CorrectCommission	0.350097	0.396403	1	0	80
41.679405	1.279625	city	7	1	1.415960	1.415960	0	1	0	0	CorrectCommission	0.086600	0.398240	1	0	80
42.958996	1.279557	city	9	1	1.293153	1.293153	0	1	0	0	CorrectCommission	0.314745	0.406062	1	0	80
44.245228	1.292904	city	6	1	1.348514	1.348514	0	1	0	0	CorrectCommission	0.133821	0.420093	1	0	80
45.531475	1.279588	city	8	1	1.354197	1.354197	0	1	0	0	CorrectCommission	0.115248	0.440072	1	0	80
46.811069	1.279601	city	7	1	1.385269	1.385269	0	1	0	0	CorrectCommission	0.013700	0.465182	1	0	80
48.097324	1.292908	city	8	1	1.517785	1.517785	0	1	0	0	CorrectCommission	0.419376	0.494106	1	0	80
49.383568	1.279577	city	9	1	1.761482	1.761482	0	1	0	0	CorrectCommission	1.215805	0.525170	1	0	80
50.663143	1.279576	city	4	0	0.000000	1.531676	0	0	0	1	OmissionError	0.464773	0.556588	1	0	80
51.949383	1.292906	city	1	1	1.365405	1.365405	0	1	0	0	CorrectCommission	0.078618	0.586718	1	0	80
53.235630	1.279585	city	6	1	1.799710	1.799710	0	1	0	0	CorrectCommission	1.340739	0.614292	1	0	80
54.555195	1.359546	city	2	0	0.000000	1.287302	0	0	0	1	OmissionError	0.333868	0.638515	1	0	80
55.888084	1.306237	city	8	1	0.748529	0.748529	0	1	0	0	CorrectCommission	2.094636	0.659219	1	0	80
57.187611	1.292809	city	3	1	1.103743	1.103743	0	1	0	0	CorrectCommission	0.933759	0.676600	1	0	80
57.834015	9.836720	break	0	0	0.000000	1.313904	0	0	0	0	ThoughtProbe	0.246931	0.691200	1	80	80
68.317261	1.293052	city	8	1	1.420977	1.420977	0	1	0	0	CorrectCommission	0.102996	0.703586	1	0	7.967500e+01
69.610229	1.292894	city	2	1	1.466927	1.466927	0	1	0	0	CorrectCommission	0.253168	0.714149	1	0	7.935000e+01
70.903137	1.292921	mountain	4	0	0.000000	1.477551	1	0	0	0	CorrectOmission	0.287887	0.722986	1	0	7.902500e+01
72.196053	1.292903	city	4	1	1.367296	1.367296	0	1	0	0	CorrectCommission	0.072437	0.729923	1	0	7.870000e+01
73.482285	1.279566	city	6	0	0.000000	1.050614	0	0	0	1	OmissionError	1.107391	0.734638	0	0	7.837500e+01
