onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653171	1.279533	city	10	1	0.974517	0.974517	0	1	0	0	CorrectCommission	0.117455	0.117455	1	0	37
1.932702	1.279528	mountain	2	0	0.000000	1.157221	1	0	0	0	CorrectOmission	0.336159	0.234292	1	0	37
3.365477	1.586022	city	3	1	1.215157	1.215157	0	1	0	0	CorrectCommission	0.480002	0.350781	1	0	37
4.798363	1.279750	city	4	1	1.023558	1.023558	0	1	0	0	CorrectCommission	0.004303	0.466234	1	0	37
6.077940	1.279405	city	2	1	1.014744	1.014744	0	1	0	0	CorrectCommission	0.017579	0.579378	1	0	37
7.384168	1.333050	city	5	1	0.856933	0.856933	0	1	0	0	CorrectCommission	0.409391	0.688266	1	0	37
8.690447	1.279509	city	6	1	0.752148	0.752148	0	1	0	0	CorrectCommission	0.669551	0.790396	1	0	37
9.983356	1.306310	city	8	1	0.673466	0.673466	0	1	0	0	CorrectCommission	0.864900	0.883034	0	0	37
11.276298	1.279572	city	5	1	1.741177	1.741177	0	1	0	0	CorrectCommission	1.786000	0.963649	0	0	37
12.562510	1.292852	city	4	1	1.775765	1.775765	0	1	0	0	CorrectCommission	1.871876	1.030338	0	0	37
13.848764	1.279657	city	1	1	1.906836	1.906836	0	1	0	0	CorrectCommission	2.197297	1.082235	0	0	37
15.128386	1.279586	city	6	1	1.924118	1.924118	0	1	0	0	CorrectCommission	2.240205	1.119674	0	0	37
16.407919	1.279482	city	4	0	0.000000	1.589639	0	0	0	1	OmissionError	1.409762	1.144109	0	0	37
17.687431	1.279543	mountain	7	0	0.000000	1.126227	1	0	0	0	CorrectOmission	0.259209	1.157842	0	0	37
18.966976	1.279546	city	1	1	0.756714	0.756714	0	1	0	0	CorrectCommission	0.658213	1.163556	0	0	37
20.246611	1.279722	city	7	1	0.703930	0.703930	0	1	0	0	CorrectCommission	0.789265	1.163755	0	0	37
21.526194	1.279442	city	2	1	0.677237	0.677237	0	1	0	0	CorrectCommission	0.855538	1.160392	0	0	37
22.805780	1.279731	city	5	1	0.695147	0.695147	0	1	0	0	CorrectCommission	0.811071	1.154583	0	0	37
24.085367	1.279444	city	8	1	0.543376	0.543376	0	1	0	0	CorrectCommission	1.187888	1.146572	0	0	37
25.364859	1.279540	city	3	1	0.591488	0.591488	0	1	0	0	CorrectCommission	1.068436	1.135882	0	0	37
26.644497	1.279736	city	4	1	1.657877	1.657877	0	1	0	0	CorrectCommission	1.579183	1.121666	0	0	37
27.924156	1.279580	city	7	1	1.836350	1.836350	0	1	0	0	CorrectCommission	2.022294	1.103074	0	0	37
29.203655	1.279420	city	2	1	1.899353	1.899353	0	1	0	0	CorrectCommission	2.178719	1.079596	0	0	37
30.483236	1.279740	city	4	0	0.000000	1.334784	0	0	0	1	OmissionError	0.777011	1.051314	0	0	37
31.762903	1.279597	city	6	1	0.768862	0.768862	0	1	0	0	CorrectCommission	0.628053	1.019011	0	0	37
33.042568	1.279731	city	9	1	0.827811	0.827811	0	1	0	0	CorrectCommission	0.481696	0.984066	0	0	37
34.328728	1.292589	city	6	1	0.742746	0.742746	0	1	0	0	CorrectCommission	0.692893	0.948348	0	0	37
35.614895	1.279745	city	9	1	0.605998	0.605998	0	1	0	0	CorrectCommission	1.032409	0.913986	0	0	37
36.894554	1.279576	city	5	1	0.650353	0.650353	0	1	0	0	CorrectCommission	0.922287	0.883147	0	0	37
38.174076	1.279464	city	4	1	0.749522	0.749522	0	1	0	0	CorrectCommission	0.676071	0.857876	0	0	37
39.453644	1.279677	city	8	1	0.697187	0.697187	0	1	0	0	CorrectCommission	0.806006	0.839899	0	0	37
40.733273	1.279580	city	5	1	0.703655	0.703655	0	1	0	0	CorrectCommission	0.789949	0.830481	0	0	37
42.012856	1.279584	city	8	1	0.647957	0.647957	0	1	0	0	CorrectCommission	0.928235	0.830301	0	0	37
42.652649	9.210151	break	0	1	0.716178	0.716178	0	0	0	0	ThoughtProbe	0.758856	0.839329	0	37	37
52.502663	1.279730	city	3	1	0.965054	0.965054	0	1	0	0	CorrectCommission	0.140949	0.856739	0	0	3.747826e+01
53.782288	1.279516	city	2	1	0.774063	0.774063	0	1	0	0	CorrectCommission	0.615141	0.880901	0	0	3.795652e+01
