onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.652997	1.279557	city	4	1	2.041247	2.041247	0	1	0	0	CorrectCommission	5.060344	5.060344	0	0	43
1.932577	1.279603	city	10	1	1.607299	1.607299	0	1	0	0	CorrectCommission	2.481230	4.495141	0	0	43
3.212167	1.279578	city	1	1	1.345268	1.345268	0	1	0	0	CorrectCommission	0.923880	3.947964	0	0	43
4.491746	1.279580	city	2	1	1.250772	1.250772	0	1	0	0	CorrectCommission	0.362256	3.434867	0	0	43
5.771315	1.279557	city	8	1	1.018928	1.018928	0	1	0	0	CorrectCommission	1.015679	2.968323	0	0	43
7.050882	1.279577	city	7	1	0.967138	0.967138	0	1	0	0	CorrectCommission	1.323489	2.556248	0	0	43
8.330459	1.279575	city	1	1	0.876795	0.876795	0	1	0	0	CorrectCommission	1.860428	2.201726	0	0	43
9.610041	1.279589	city	2	1	0.937156	0.937156	0	1	0	0	CorrectCommission	1.501681	1.903466	0	0	43
10.889624	1.279578	city	6	1	0.866568	0.866568	0	1	0	0	CorrectCommission	1.921215	1.656765	0	0	43
12.169203	1.279579	mountain	10	1	0.914226	0.914226	0	0	1	0	CommissionError	1.637967	1.454737	0	0	43
13.448808	1.279630	city	1	1	1.068560	1.068560	0	1	0	0	CorrectCommission	0.720698	1.289589	0	0	43
14.735048	1.292852	city	6	1	1.052607	1.052607	0	1	0	0	CorrectCommission	0.815512	1.153673	0	0	43
16.021276	1.279604	city	9	1	0.941256	0.941256	0	1	0	0	CorrectCommission	1.477317	1.040250	0	0	43
17.300858	1.279559	mountain	9	0	0.000000	1.014581	1	0	0	0	CorrectOmission	1.041514	0.943930	0	0	43
18.580439	1.279601	mountain	6	0	0.000000	1.151376	1	0	0	0	CorrectOmission	0.228493	0.860810	0	0	43
19.860033	1.279587	city	3	1	1.230430	1.230430	0	1	0	0	CorrectCommission	0.241356	0.788319	0	0	43
21.139599	1.279546	city	6	1	1.130535	1.130535	0	1	0	0	CorrectCommission	0.352358	0.724957	1	0	43
22.419159	1.279576	city	10	1	0.875287	0.875287	0	1	0	0	CorrectCommission	1.869391	0.669952	1	0	43
23.698738	1.279582	city	6	1	1.176363	1.176363	0	1	0	0	CorrectCommission	0.079983	0.622937	1	0	43
24.978319	1.279580	city	10	1	1.135513	1.135513	0	1	0	0	CorrectCommission	0.322774	0.583793	1	0	43
26.257896	1.279575	city	3	1	1.235371	1.235371	0	1	0	0	CorrectCommission	0.270721	0.552402	1	0	43
