onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.652974	1.279598	city	3	1	0.920866	0.920866	0	1	0	0	CorrectCommission	0.132144	0.132144	1	0	66
1.932552	1.279558	city	4	1	0.650516	0.650516	0	1	0	0	CorrectCommission	1.037500	0.340258	1	0	66
3.212099	1.279537	city	7	1	0.645310	0.645310	0	1	0	0	CorrectCommission	1.054935	0.536276	1	0	66
4.491677	1.279620	city	1	1	0.651238	0.651238	0	1	0	0	CorrectCommission	1.035081	0.709344	0	0	66
5.771250	1.279525	city	6	1	0.769084	0.769084	0	1	0	0	CorrectCommission	0.640436	0.850925	0	0	66
7.330747	1.839469	city	7	1	2.155582	2.155582	0	1	0	0	CorrectCommission	4.002715	0.955627	0	0	66
8.983490	1.466018	city	1	1	2.097469	2.097469	0	1	0	0	CorrectCommission	3.808105	1.021472	0	0	66
10.369692	1.306385	mountain	3	0	0.000000	1.587522	1	0	0	0	CorrectOmission	2.100378	1.050006	0	0	66
11.675911	1.306053	city	6	1	1.029177	1.029177	0	1	0	0	CorrectCommission	0.230574	1.045766	0	0	66
12.975415	1.292957	city	7	1	0.825871	0.825871	0	1	0	0	CorrectCommission	0.450265	1.015412	0	0	66
14.301665	1.359543	city	9	1	0.818546	0.818546	0	1	0	0	CorrectCommission	0.474795	0.966653	0	0	66
15.654629	1.346383	city	6	1	0.817573	0.817573	0	1	0	0	CorrectCommission	0.478053	0.907244	0	0	66
16.967564	1.279485	city	8	1	0.860692	0.860692	0	1	0	0	CorrectCommission	0.333655	0.844066	0	0	66
18.247065	1.279518	city	10	1	0.801836	0.801836	0	1	0	0	CorrectCommission	0.530754	0.782501	0	0	66
19.526651	1.279656	mountain	4	1	0.771446	0.771446	0	0	1	0	CommissionError	0.632525	0.726101	0	0	66
20.806305	1.279653	city	10	1	0.804604	0.804604	0	1	0	0	CorrectCommission	0.521485	0.676626	0	0	66
22.085909	1.279552	city	1	1	0.807744	0.807744	0	1	0	0	CorrectCommission	0.510970	0.634300	1	0	66
23.365477	1.279586	city	3	1	0.600034	0.600034	0	1	0	0	CorrectCommission	1.206554	0.598223	1	0	66
24.644993	1.279446	mountain	6	0	0.000000	0.786178	1	0	0	0	CorrectOmission	0.583191	0.566772	1	0	66
