onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.659746	1.292932	city	4	1	1.244052	1.244052	0	1	0	0	CorrectCommission	0.274208	0.274208	1	0	92
1.945950	1.279477	city	6	1	0.911284	0.911284	0	1	0	0	CorrectCommission	1.319131	0.399994	1	0	92
3.225443	1.279509	city	4	1	0.941918	0.941918	0	1	0	0	CorrectCommission	1.172454	0.518229	1	0	92
4.511736	1.293076	city	1	1	0.879972	0.879972	0	1	0	0	CorrectCommission	1.469059	0.622245	1	0	92
5.797969	1.279391	city	8	1	0.963753	0.963753	0	1	0	0	CorrectCommission	1.067905	0.706924	1	0	92
7.077491	1.279651	city	1	1	0.911281	0.911281	0	1	0	0	CorrectCommission	1.319147	0.769320	1	0	92
8.357088	1.279543	city	8	1	0.677585	0.677585	0	1	0	0	CorrectCommission	2.438120	0.808750	0	0	92
9.643321	1.292923	city	7	1	0.994020	0.994020	0	1	0	0	CorrectCommission	0.922980	0.826811	0	0	92
10.936289	1.293013	city	1	1	0.889063	0.889063	0	1	0	0	CorrectCommission	1.425532	0.827000	0	0	92
12.222589	1.279586	city	4	1	1.128229	1.128229	0	1	0	0	CorrectCommission	0.280370	0.814135	0	0	92
13.502101	1.279437	city	3	1	1.178605	1.178605	0	1	0	0	CorrectCommission	0.039161	0.793706	1	0	92
14.781693	1.279747	mountain	4	0	0.000000	1.149075	1	0	0	0	CorrectOmission	0.180555	0.771193	1	0	92
16.061285	1.279439	city	9	1	1.072014	1.072014	0	1	0	0	CorrectCommission	0.549534	0.751479	1	0	92
17.340803	1.279594	city	2	1	0.979797	0.979797	0	1	0	0	CorrectCommission	0.991082	0.738449	1	0	92
18.620382	1.279567	mountain	7	1	1.234197	1.234197	0	0	1	0	CommissionError	0.227024	0.734764	1	0	92
