onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
8.421603	0.795878	city	3	1	0.599775	0.599775	0	1	0	0	CorrectCommission	0.275654	0.275654	1
9.217454	0.795822	city	7	1	0.504247	0.504247	0	1	0	0	CorrectCommission	0.268795	0.549779	1
10.013239	0.795749	city	5	1	0.353856	0.353856	0	1	0	0	CorrectCommission	1.125930	0.810867	0
10.809041	0.795855	city	3	1	0.350712	0.350712	0	1	0	0	CorrectCommission	1.143850	1.046792	0
11.604828	0.795718	city	6	1	1.046434	1.046434	0	1	0	0	CorrectCommission	2.821331	1.247344	0
12.400627	0.795880	city	7	1	1.097615	1.097615	0	1	0	0	CorrectCommission	3.113033	1.404852	0
13.196596	0.796058	city	5	1	1.096575	1.096575	0	1	0	0	CorrectCommission	3.107102	1.514822	0
13.992377	0.795504	city	7	1	1.110333	1.110333	0	1	0	0	CorrectCommission	3.185518	1.576142	0
14.788045	0.795830	city	4	1	1.100044	1.100044	0	1	0	0	CorrectCommission	3.126877	1.590971	0
15.583842	0.795764	city	7	1	1.096399	1.096399	0	1	0	0	CorrectCommission	3.106102	1.564378	0
16.379631	0.795813	mountain	2	0	0.000000	0.714479	1	0	0	0	CorrectOmission	0.929396	1.503670	0
17.175589	0.796105	city	3	1	0.350446	0.350446	0	1	0	0	CorrectCommission	1.145370	1.417617	0
17.971388	0.795491	city	9	1	0.400459	0.400459	0	1	0	0	CorrectCommission	0.860326	1.315344	0
18.767035	0.795805	city	4	1	0.502949	0.502949	0	1	0	0	CorrectCommission	0.276196	1.205616	0
19.562836	0.795795	city	2	1	0.461964	0.461964	0	1	0	0	CorrectCommission	0.509781	1.096003	0
20.358635	0.795802	city	1	1	0.456243	0.456243	0	1	0	0	CorrectCommission	0.542392	0.992356	0
21.154457	0.795842	city	7	1	0.500216	0.500216	0	1	0	0	CorrectCommission	0.291769	0.898563	0
21.950281	0.795807	city	8	1	0.418179	0.418179	0	1	0	0	CorrectCommission	0.759329	0.816587	0
22.746073	0.795777	city	7	1	0.453742	0.453742	0	1	0	0	CorrectCommission	0.556644	0.746664	0
23.542006	0.796086	city	8	1	0.499420	0.499420	0	1	0	0	CorrectCommission	0.296310	0.687735	0
24.337814	0.795531	city	3	1	0.349844	0.349844	0	1	0	0	CorrectCommission	1.148801	0.637942	0
25.133461	0.795763	city	6	1	0.354327	0.354327	0	1	0	0	CorrectCommission	1.123249	0.595053	0
25.929247	0.795808	city	3	1	0.450487	0.450487	0	1	0	0	CorrectCommission	0.575194	0.556971	1
26.725069	0.795838	city	5	1	0.411513	0.411513	0	1	0	0	CorrectCommission	0.797325	0.522038	1
27.520891	0.795804	city	6	1	0.549182	0.549182	0	1	0	0	CorrectCommission	0.012693	0.489137	1
28.316652	0.795719	city	10	1	0.471333	0.471333	0	1	0	0	CorrectCommission	0.456387	0.457809	1
29.112429	0.795833	city	4	1	0.449589	0.449589	0	1	0	0	CorrectCommission	0.580314	0.428058	1
29.908278	0.795865	city	6	1	0.549118	0.549118	0	1	0	0	CorrectCommission	0.013061	0.400271	1
30.704224	0.796028	city	10	1	0.464380	0.464380	0	1	0	0	CorrectCommission	0.496015	0.375049	1
31.500010	0.795542	city	1	1	0.499844	0.499844	0	1	0	0	CorrectCommission	0.293893	0.352954	1
32.295673	0.795784	city	7	1	0.550016	0.550016	0	1	0	0	CorrectCommission	0.007943	0.334410	1
33.091438	0.795745	city	1	1	0.499322	0.499322	0	1	0	0	CorrectCommission	0.296868	0.319585	1
33.887211	0.795806	city	4	1	0.465201	0.465201	0	1	0	0	CorrectCommission	0.491335	0.308392	1
34.683197	0.796162	city	1	1	0.550056	0.550056	0	1	0	0	CorrectCommission	0.007714	0.300439	1
35.479034	0.795517	city	6	1	0.598926	0.598926	0	1	0	0	CorrectCommission	0.270817	0.295147	1
36.274700	0.795815	city	7	1	0.549159	0.549159	0	1	0	0	CorrectCommission	0.012829	0.291810	1
37.070473	0.795729	mountain	6	1	0.499803	0.499803	0	0	1	0	CommissionError	0.294127	0.289732	1
37.866257	0.795842	mountain	7	0	0.000000	0.603408	1	0	0	0	CorrectOmission	0.296361	0.288315	1
38.662086	0.795814	city	2	1	0.704754	0.704754	0	1	0	0	CorrectCommission	0.873970	0.287184	1
39.457897	0.795806	city	7	1	0.648619	0.648619	0	1	0	0	CorrectCommission	0.554035	0.286159	1
40.253685	0.795774	city	1	1	0.617446	0.617446	0	1	0	0	CorrectCommission	0.376368	0.285359	1
41.049633	0.796119	city	8	1	0.549961	0.549961	0	1	0	0	CorrectCommission	0.008255	0.285100	1
41.845444	0.795502	city	6	1	0.551745	0.551745	0	1	0	0	CorrectCommission	0.001913	0.285801	1
42.641098	0.795807	city	9	1	0.598810	0.598810	0	1	0	0	CorrectCommission	0.270155	0.287896	1
43.436901	0.795800	city	5	1	0.565674	0.565674	0	1	0	0	CorrectCommission	0.081299	0.291707	1
44.232666	0.795735	city	2	1	0.510535	0.510535	0	1	0	0	CorrectCommission	0.232962	0.297375	1
45.028477	0.795880	city	3	1	0.512302	0.512302	0	1	0	0	CorrectCommission	0.222891	0.304804	1
45.824448	0.796068	city	2	1	0.499759	0.499759	0	1	0	0	CorrectCommission	0.294375	0.313639	1
46.620262	0.795561	mountain	7	1	0.468662	0.468662	0	0	1	0	CommissionError	0.471611	0.323293	1
47.415905	0.795720	mountain	9	0	0.000000	0.547556	1	0	0	0	CorrectOmission	0.021960	0.333049	1
48.211834	0.796141	city	2	1	0.652132	0.652132	0	1	0	0	CorrectCommission	0.574056	0.342130	1
49.007805	0.795800	city	9	1	0.698078	0.698078	0	1	0	0	CorrectCommission	0.835919	0.349801	1
49.803459	0.795506	city	3	1	0.598540	0.598540	0	1	0	0	CorrectCommission	0.268617	0.355490	1
50.599117	0.795817	city	8	1	0.599554	0.599554	0	1	0	0	CorrectCommission	0.274395	0.358909	1
51.394920	0.795784	city	3	1	0.598886	0.598886	0	1	0	0	CorrectCommission	0.270586	0.360054	1
52.190857	0.796088	city	1	1	0.601151	0.601151	0	1	0	0	CorrectCommission	0.283498	0.359275	1
52.986629	0.795457	mountain	2	0	0.000000	0.672281	1	0	0	0	CorrectOmission	0.688893	0.357262	1
53.782291	0.795873	city	9	1	0.698442	0.698442	0	1	0	0	CorrectCommission	0.837991	0.354994	1
54.578278	0.796095	city	7	1	0.565800	0.565800	0	1	0	0	CorrectCommission	0.082014	0.353635	1
55.374073	0.795494	city	6	1	0.617240	0.617240	0	1	0	0	CorrectCommission	0.375193	0.354484	1
56.169735	0.795832	city	4	1	0.550445	0.550445	0	1	0	0	CorrectCommission	0.005498	0.358775	1
56.965527	0.795754	city	6	1	0.549452	0.549452	0	1	0	0	CorrectCommission	0.011156	0.367556	1
57.761284	0.795755	city	3	1	0.461742	0.461742	0	1	0	0	CorrectCommission	0.511048	0.381587	1
58.557068	0.795814	city	6	1	0.564244	0.564244	0	1	0	0	CorrectCommission	0.073150	0.401160	1
