onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
8.421728	0.795702	city	6	1	0.800295	0.800295	0	1	0	0	CorrectCommission	0.328756	0.328756	1
9.217517	0.795875	city	1	1	0.705673	0.705673	0	1	0	0	CorrectCommission	1.292578	0.436169	1
10.013357	0.795804	city	6	1	0.613493	0.613493	0	1	0	0	CorrectCommission	2.231536	0.537389	1
10.809149	0.795780	mountain	9	1	0.798545	0.798545	0	0	1	0	CommissionError	0.346582	0.626864	1
11.604946	0.795815	city	7	1	0.701139	0.701139	0	1	0	0	CorrectCommission	1.338765	0.700270	0
12.400740	0.795771	mountain	5	1	0.610611	0.610611	0	0	1	0	CommissionError	2.260887	0.754758	0
13.196548	0.795844	city	2	1	0.748471	0.748471	0	1	0	0	CorrectCommission	0.856641	0.789242	0
13.992519	0.796098	city	6	1	0.751387	0.751387	0	1	0	0	CorrectCommission	0.826931	0.804431	0
14.788309	0.795481	mountain	5	0	0.000000	0.698492	1	0	0	0	CorrectOmission	1.365727	0.802507	0
15.583962	0.795826	city	3	1	0.699033	0.699033	0	1	0	0	CorrectCommission	1.360213	0.786778	0
16.379917	0.796084	city	7	1	0.862261	0.862261	0	1	0	0	CorrectCommission	0.302427	0.761247	0
17.175694	0.795466	mountain	4	0	0.000000	0.821950	1	0	0	0	CorrectOmission	0.108176	0.730152	0
17.971365	0.795878	city	8	1	0.748327	0.748327	0	1	0	0	CorrectCommission	0.858106	0.697445	0
18.767157	0.795706	city	2	1	0.811616	0.811616	0	1	0	0	CorrectCommission	0.213444	0.666475	1
19.562923	0.795826	city	1	1	0.798200	0.798200	0	1	0	0	CorrectCommission	0.350095	0.639824	1
20.358761	0.795848	city	6	1	0.814203	0.814203	0	1	0	0	CorrectCommission	0.187093	0.619075	1
21.154711	0.796055	city	3	1	0.748021	0.748021	0	1	0	0	CorrectCommission	0.861223	0.604959	1
21.950506	0.795536	city	6	1	0.799598	0.799598	0	1	0	0	CorrectCommission	0.335853	0.597383	1
22.746176	0.795800	city	2	1	0.848340	0.848340	0	1	0	0	CorrectCommission	0.160635	0.595707	1
23.542131	0.796111	city	1	1	0.897483	0.897483	0	1	0	0	CorrectCommission	0.661205	0.598902	1
24.337934	0.795497	city	4	1	0.996990	0.996990	0	1	0	0	CorrectCommission	1.674788	0.605854	1
25.133593	0.795816	city	10	1	0.859799	0.859799	0	1	0	0	CorrectCommission	0.277355	0.615438	1
25.929392	0.795784	city	6	1	0.947268	0.947268	0	1	0	0	CorrectCommission	1.168317	0.626818	1
26.725157	0.795745	city	1	1	0.847554	0.847554	0	1	0	0	CorrectCommission	0.152623	0.639309	1
27.520931	0.795804	city	5	1	0.847738	0.847738	0	1	0	0	CorrectCommission	0.154501	0.652522	1
28.316767	0.795866	city	10	1	0.847643	0.847643	0	1	0	0	CorrectCommission	0.153533	0.666346	1
29.112638	0.795880	city	5	1	0.897637	0.897637	0	1	0	0	CorrectCommission	0.662774	0.680819	0
29.908588	0.796020	city	2	1	0.952800	0.952800	0	1	0	0	CorrectCommission	1.224666	0.696056	0
30.704351	0.795505	city	7	1	0.997163	0.997163	0	1	0	0	CorrectCommission	1.676547	0.712214	0
31.500006	0.795803	city	5	1	0.897182	0.897182	0	1	0	0	CorrectCommission	0.658143	0.729385	0
32.295784	0.795753	city	3	1	0.897924	0.897924	0	1	0	0	CorrectCommission	0.665698	0.747517	0
33.091724	0.796130	city	4	1	0.849365	0.849365	0	1	0	0	CorrectCommission	0.171074	0.766263	0
33.887562	0.795543	city	6	1	0.847200	0.847200	0	1	0	0	CorrectCommission	0.149022	0.784985	0
34.683231	0.795794	city	4	1	0.765559	0.765559	0	1	0	0	CorrectCommission	0.682575	0.802693	0
35.479034	0.795818	city	2	1	0.797928	0.797928	0	1	0	0	CorrectCommission	0.352872	0.818035	0
36.274822	0.795753	city	4	1	1.046589	1.046589	0	1	0	0	CorrectCommission	2.180008	0.829517	0
37.070595	0.795795	city	5	1	0.898075	0.898075	0	1	0	0	CorrectCommission	0.667233	0.835543	0
37.866421	0.795852	city	1	1	0.897670	0.897670	0	1	0	0	CorrectCommission	0.663109	0.834801	0
38.662228	0.795764	city	4	1	0.963606	0.963606	0	1	0	0	CorrectCommission	1.334740	0.826262	0
39.457977	0.795737	city	7	1	0.997766	0.997766	0	1	0	0	CorrectCommission	1.682691	0.809405	0
40.253750	0.795806	city	1	1	0.903753	0.903753	0	1	0	0	CorrectCommission	0.725076	0.784346	0
41.049595	0.795881	city	6	1	0.947691	0.947691	0	1	0	0	CorrectCommission	1.172627	0.751901	0
41.845444	0.795818	city	8	1	0.898029	0.898029	0	1	0	0	CorrectCommission	0.666762	0.713378	0
42.641251	0.795797	city	5	1	0.811505	0.811505	0	1	0	0	CorrectCommission	0.214570	0.670641	1
43.437054	0.795809	city	7	1	0.898162	0.898162	0	1	0	0	CorrectCommission	0.668121	0.625817	1
44.232853	0.795795	city	4	1	0.797914	0.797914	0	1	0	0	CorrectCommission	0.353012	0.581122	1
45.028614	0.795726	city	1	1	0.748318	0.748318	0	1	0	0	CorrectCommission	0.858199	0.538716	1
45.824402	0.795846	city	2	1	0.853206	0.853206	0	1	0	0	CorrectCommission	0.210200	0.500482	1
46.620358	0.796072	city	6	1	0.863655	0.863655	0	1	0	0	CorrectCommission	0.316626	0.467937	1
47.416313	0.795834	mountain	3	0	0.000000	0.832610	1	0	0	0	CorrectOmission	0.000406	0.442094	1
48.211994	0.795529	city	8	1	0.798191	0.798191	0	1	0	0	CorrectCommission	0.350191	0.423465	1
49.007614	0.795711	city	4	1	0.798514	0.798514	0	1	0	0	CorrectCommission	0.346899	0.412067	1
49.803398	0.795861	city	8	1	0.798109	0.798109	0	1	0	0	CorrectCommission	0.351026	0.407447	1
50.599197	0.795739	mountain	4	0	0.000000	0.839751	1	0	0	0	CorrectOmission	0.073146	0.408791	1
51.395157	0.796174	city	8	1	0.848163	0.848163	0	1	0	0	CorrectCommission	0.158832	0.415060	1
52.190987	0.795492	city	7	1	0.748067	0.748067	0	1	0	0	CorrectCommission	0.860754	0.425039	1
52.986656	0.795845	city	4	1	0.761994	0.761994	0	1	0	0	CorrectCommission	0.718897	0.437531	1
53.782433	0.795705	mountain	8	0	0.000000	0.795071	1	0	0	0	CorrectOmission	0.381964	0.451409	1
54.578190	0.795809	mountain	4	0	0.000000	0.821344	1	0	0	0	CorrectOmission	0.114349	0.465823	1
55.374012	0.795839	city	4	1	0.814855	0.814855	0	1	0	0	CorrectCommission	0.180444	0.480192	1
56.169807	0.795751	city	8	1	0.749649	0.749649	0	1	0	0	CorrectCommission	0.844640	0.494236	1
56.965588	0.795806	city	5	1	0.758920	0.758920	0	1	0	0	CorrectCommission	0.750209	0.507963	1
57.761417	0.795858	city	10	1	0.749304	0.749304	0	1	0	0	CorrectCommission	0.848151	0.521721	1
58.557232	0.795765	city	1	1	0.748007	0.748007	0	1	0	0	CorrectCommission	0.861361	0.536058	1
59.353012	0.795797	city	7	1	0.804414	0.804414	0	1	0	0	CorrectCommission	0.286801	0.551659	1
60.148838	0.795853	mountain	9	0	0.000000	0.803959	1	0	0	0	CorrectOmission	0.291431	0.569232	1
60.944656	0.795784	city	8	1	0.798160	0.798160	0	1	0	0	CorrectCommission	0.350501	0.589386	1
61.740444	0.795791	mountain	4	0	0.000000	0.838533	1	0	0	0	CorrectOmission	0.060737	0.612592	1
62.536221	0.795762	city	4	1	0.847753	0.847753	0	1	0	0	CorrectCommission	0.154650	0.639086	1
63.332001	0.795802	city	8	1	0.748495	0.748495	0	1	0	0	CorrectCommission	0.856395	0.668905	1
64.127800	0.795798	city	5	1	0.699261	0.699261	0	1	0	0	CorrectCommission	1.357893	0.701892	0
64.923622	0.795847	city	1	1	0.757627	0.757627	0	1	0	0	CorrectCommission	0.763373	0.737770	0
65.719475	0.795848	city	9	1	0.897652	0.897652	0	1	0	0	CorrectCommission	0.662924	0.776163	0
66.515259	0.795721	city	1	1	0.710983	0.710983	0	1	0	0	CorrectCommission	1.238492	0.816565	0
67.311012	0.795783	city	2	1	0.763051	0.763051	0	1	0	0	CorrectCommission	0.708124	0.858309	0
68.106812	0.795826	city	1	1	0.749045	0.749045	0	1	0	0	CorrectCommission	0.850793	0.900546	0
68.902641	0.795821	city	2	1	0.798445	0.798445	0	1	0	0	CorrectCommission	0.347604	0.942149	0
69.698471	0.795840	city	4	1	0.750504	0.750504	0	1	0	0	CorrectCommission	0.835929	0.981717	0
70.494308	0.795836	city	2	1	0.748303	0.748303	0	1	0	0	CorrectCommission	0.858345	1.017553	0
71.290085	0.795720	mountain	6	0	0.000000	0.723628	1	0	0	0	CorrectOmission	1.109687	1.047835	0
72.085838	0.795793	city	3	1	0.699398	0.699398	0	1	0	0	CorrectCommission	1.356498	1.070747	0
72.881813	0.796148	city	2	1	0.698532	0.698532	0	1	0	0	CorrectCommission	1.365320	1.084732	0
73.677650	0.795534	city	7	1	0.661035	0.661035	0	1	0	0	CorrectCommission	1.747270	1.088719	0
74.473267	0.795696	city	10	1	0.648759	0.648759	0	1	0	0	CorrectCommission	1.872307	1.082332	0
75.269058	0.795888	city	1	1	0.749454	0.749454	0	1	0	0	CorrectCommission	0.846628	1.066048	0
76.064903	0.795798	mountain	1	0	0.000000	0.697514	1	0	0	0	CorrectOmission	1.375692	1.041255	0
76.860710	0.795812	city	8	1	0.649182	0.649182	0	1	0	0	CorrectCommission	1.867999	1.010080	0
77.656517	0.795814	city	3	1	0.760702	0.760702	0	1	0	0	CorrectCommission	0.732049	0.975199	0
78.452309	0.795765	city	2	1	0.798289	0.798289	0	1	0	0	CorrectCommission	0.349195	0.939626	0
79.248093	0.795795	mountain	3	0	0.000000	0.769759	1	0	0	0	CorrectOmission	0.639794	0.906264	0
80.043892	0.795802	city	2	1	0.748828	0.748828	0	1	0	0	CorrectCommission	0.852998	0.877585	0
80.839714	0.795841	city	3	1	0.809209	0.809209	0	1	0	0	CorrectCommission	0.237962	0.855333	0
81.635490	0.795715	city	9	1	0.854599	0.854599	0	1	0	0	CorrectCommission	0.224387	0.840387	0
82.431259	0.795834	city	1	1	0.755039	0.755039	0	1	0	0	CorrectCommission	0.789733	0.832722	0
83.227081	0.795796	city	10	1	0.798411	0.798411	0	1	0	0	CorrectCommission	0.347946	0.831459	0
84.022903	0.795854	mountain	2	0	0.000000	0.758496	1	0	0	0	CorrectOmission	0.754519	0.835105	0
84.818733	0.795808	city	7	1	0.702739	0.702739	0	1	0	0	CorrectCommission	1.322467	0.841811	0
85.614670	0.796070	city	9	1	0.698583	0.698583	0	1	0	0	CorrectCommission	1.364803	0.849713	0
86.410477	0.795537	city	7	1	0.698116	0.698116	0	1	0	0	CorrectCommission	1.369557	0.857227	0
87.206139	0.795781	city	8	1	0.748052	0.748052	0	1	0	0	CorrectCommission	0.860912	0.863201	0
88.001892	0.795731	city	4	1	0.753471	0.753471	0	1	0	0	CorrectCommission	0.805711	0.867053	0
88.797668	0.795821	city	1	1	0.748195	0.748195	0	1	0	0	CorrectCommission	0.859447	0.868710	0
89.593506	0.795851	city	5	1	0.751954	0.751954	0	1	0	0	CorrectCommission	0.821162	0.868488	0
90.389320	0.795775	city	8	1	0.748305	0.748305	0	1	0	0	CorrectCommission	0.858326	0.866953	0
