onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
8.421689	0.795840	city	1	1	0.816395	0.816395	0	1	0	0	CorrectCommission	0.501924	0.501924	1
9.217495	0.795772	city	3	1	0.848009	0.848009	0	1	0	0	CorrectCommission	0.787381	0.519489	1
10.013300	0.795838	city	4	1	0.753038	0.753038	0	1	0	0	CorrectCommission	0.070154	0.534993	1
10.809114	0.795790	city	7	1	0.747973	0.747973	0	1	0	0	CorrectCommission	0.115887	0.546599	1
11.604890	0.795763	city	9	1	0.648758	0.648758	0	1	0	0	CorrectCommission	1.011737	0.552791	1
12.400827	0.796112	city	7	1	0.600130	0.600130	0	1	0	0	CorrectCommission	1.450822	0.552544	1
13.196609	0.795452	city	10	1	0.667396	0.667396	0	1	0	0	CorrectCommission	0.843451	0.545466	1
13.992264	0.795858	city	3	1	0.648937	0.648937	0	1	0	0	CorrectCommission	1.010124	0.531829	1
14.788066	0.795747	city	6	1	0.754148	0.754148	0	1	0	0	CorrectCommission	0.060132	0.512560	1
15.584016	0.796152	city	8	1	0.698418	0.698418	0	1	0	0	CorrectCommission	0.563343	0.489168	1
16.379816	0.795447	city	7	1	0.698946	0.698946	0	1	0	0	CorrectCommission	0.558578	0.463549	1
17.175617	0.796157	city	2	1	0.798544	0.798544	0	1	0	0	CorrectCommission	0.340737	0.437871	1
17.971596	0.795798	city	7	1	0.811865	0.811865	0	1	0	0	CorrectCommission	0.461014	0.414318	1
18.767363	0.795738	city	5	1	0.749871	0.749871	0	1	0	0	CorrectCommission	0.098755	0.394886	1
19.563023	0.795581	city	8	1	0.747899	0.747899	0	1	0	0	CorrectCommission	0.116553	0.381178	1
20.358702	0.795777	city	2	1	0.748721	0.748721	0	1	0	0	CorrectCommission	0.109137	0.374273	1
21.154510	0.795837	city	6	1	0.749482	0.749482	0	1	0	0	CorrectCommission	0.102262	0.374605	1
21.950335	0.795814	city	2	1	0.747928	0.747928	0	1	0	0	CorrectCommission	0.116295	0.382011	1
22.746122	0.795761	city	5	1	0.749508	0.749508	0	1	0	0	CorrectCommission	0.102033	0.395726	1
23.541903	0.795797	city	6	1	0.850849	0.850849	0	1	0	0	CorrectCommission	0.813022	0.414479	1
24.337845	0.796091	city	8	1	0.798451	0.798451	0	1	0	0	CorrectCommission	0.339893	0.436670	1
25.133657	0.795534	city	3	1	0.704764	0.704764	0	1	0	0	CorrectCommission	0.506042	0.460669	1
25.929327	0.795805	city	8	1	0.748069	0.748069	0	1	0	0	CorrectCommission	0.115023	0.484877	1
26.725126	0.795793	city	10	1	0.698549	0.698549	0	1	0	0	CorrectCommission	0.562162	0.508002	1
27.520937	0.795827	city	6	1	0.897463	0.897463	0	1	0	0	CorrectCommission	1.233918	0.529147	1
28.316750	0.795801	city	10	1	0.598869	0.598869	0	1	0	0	CorrectCommission	1.462205	0.547867	1
29.112543	0.795786	city	2	1	0.757362	0.757362	0	1	0	0	CorrectCommission	0.031110	0.564210	1
29.908337	0.795798	city	8	1	0.847763	0.847763	0	1	0	0	CorrectCommission	0.785155	0.578699	1
30.704126	0.795783	city	10	1	0.751061	0.751061	0	1	0	0	CorrectCommission	0.088002	0.592073	1
31.499924	0.795812	city	4	1	0.748312	0.748312	0	1	0	0	CorrectCommission	0.112828	0.605245	1
32.295731	0.795803	city	8	1	0.648789	0.648789	0	1	0	0	CorrectCommission	1.011459	0.619102	1
33.091526	0.795786	city	2	1	0.700034	0.700034	0	1	0	0	CorrectCommission	0.548748	0.634306	1
33.887318	0.795794	city	9	1	0.848380	0.848380	0	1	0	0	CorrectCommission	0.790731	0.651219	1
34.683094	0.795762	city	1	1	0.698269	0.698269	0	1	0	0	CorrectCommission	0.564684	0.669810	1
35.479057	0.796164	city	3	1	0.710341	0.710341	0	1	0	0	CorrectCommission	0.455684	0.689653	1
36.274853	0.795429	city	2	1	0.747843	0.747843	0	1	0	0	CorrectCommission	0.117061	0.709973	0
37.070488	0.795838	mountain	10	1	0.897666	0.897666	0	0	1	0	CommissionError	1.235747	0.729688	0
37.866333	0.795857	city	4	1	0.897521	0.897521	0	1	0	0	CorrectCommission	1.234444	0.747538	0
