onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
8.421718	0.795783	mountain	7	1	0.607303	0.607303	0	0	1	0	CommissionError	1.411862	1.411862	0
9.217539	0.795859	city	9	1	0.847630	0.847630	0	1	0	0	CorrectCommission	1.306645	1.341703	0
10.013347	0.795756	city	1	1	0.601226	0.601226	0	1	0	0	CorrectCommission	1.480606	1.273374	0
10.809152	0.795854	city	5	1	0.698855	0.698855	0	1	0	0	CorrectCommission	0.376252	1.208476	0
11.604946	0.795735	city	1	1	0.649603	0.649603	0	1	0	0	CorrectCommission	0.933376	1.148241	0
12.400734	0.795841	city	8	1	0.649339	0.649339	0	1	0	0	CorrectCommission	0.936369	1.093320	0
13.196588	0.795867	mountain	9	0	0.000000	0.640532	1	0	0	0	CorrectOmission	1.035986	1.043788	0
13.992394	0.795746	city	8	1	0.648558	0.648558	0	1	0	0	CorrectCommission	0.945195	0.999121	0
14.788180	0.795826	city	4	1	0.698792	0.698792	0	1	0	0	CorrectCommission	0.376965	0.958341	0
15.583995	0.795804	city	9	1	0.613344	0.613344	0	1	0	0	CorrectCommission	1.343525	0.920180	0
16.379936	0.796079	city	6	1	0.648575	0.648575	0	1	0	0	CorrectCommission	0.945013	0.883208	0
17.175867	0.795781	city	2	1	0.653129	0.653129	0	1	0	0	CorrectCommission	0.893499	0.846116	0
17.971666	0.795819	mountain	2	0	0.000000	0.626384	1	0	0	0	CorrectOmission	1.196022	0.807867	0
18.767307	0.795462	city	9	1	0.648213	0.648213	0	1	0	0	CorrectCommission	0.949101	0.767856	0
19.563065	0.796052	city	3	1	0.798487	0.798487	0	1	0	0	CorrectCommission	0.750748	0.725978	0
20.358858	0.795537	city	4	1	0.698483	0.698483	0	1	0	0	CorrectCommission	0.380460	0.682669	0
21.154568	0.795881	city	6	1	0.651917	0.651917	0	1	0	0	CorrectCommission	0.907206	0.638860	1
21.950369	0.795723	city	1	1	0.648899	0.648899	0	1	0	0	CorrectCommission	0.941341	0.595778	1
22.746176	0.795889	city	5	1	0.699303	0.699303	0	1	0	0	CorrectCommission	0.371193	0.554861	1
23.542009	0.795779	city	8	1	0.748325	0.748325	0	1	0	0	CorrectCommission	0.183333	0.517548	1
24.337784	0.795769	city	4	1	0.748056	0.748056	0	1	0	0	CorrectCommission	0.180293	0.485114	1
25.133554	0.795773	city	2	1	0.760161	0.760161	0	1	0	0	CorrectCommission	0.317216	0.458494	1
25.929373	0.795863	city	8	1	0.706916	0.706916	0	1	0	0	CorrectCommission	0.285070	0.438202	1
26.725225	0.795843	city	1	1	0.748134	0.748134	0	1	0	0	CorrectCommission	0.181174	0.424280	1
27.521181	0.796066	city	3	1	0.749491	0.749491	0	1	0	0	CorrectCommission	0.196525	0.416379	1
28.317114	0.795803	city	6	1	0.759817	0.759817	0	1	0	0	CorrectCommission	0.313326	0.413796	1
29.112761	0.795490	city	3	1	0.714203	0.714203	0	1	0	0	CorrectCommission	0.202640	0.415679	1
29.908388	0.795763	mountain	3	0	0.000000	0.681758	1	0	0	0	CorrectOmission	0.569650	0.421156	1
30.704166	0.795793	city	7	1	0.660784	0.660784	0	1	0	0	CorrectCommission	0.806898	0.429505	1
31.499996	0.795867	city	2	1	0.649585	0.649585	0	1	0	0	CorrectCommission	0.933579	0.440269	1
32.295837	0.795817	city	1	1	0.702480	0.702480	0	1	0	0	CorrectCommission	0.335251	0.453329	1
