onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653177	1.279738	city	9	1	1.602721	1.602721	0	1	0	0	CorrectCommission	1.745877	1.745877	0	0	73
1.939420	1.292749	city	7	1	1.456970	1.456970	0	1	0	0	CorrectCommission	1.016646	1.573013	0	0	73
3.225592	1.279596	city	4	1	1.180347	1.180347	0	1	0	0	CorrectCommission	0.367369	1.406854	0	0	73
4.505256	1.279731	city	5	1	1.027578	1.027578	0	1	0	0	CorrectCommission	1.131706	1.253465	0	0	73
5.784863	1.279482	city	4	1	1.186913	1.186913	0	1	0	0	CorrectCommission	0.334514	1.117681	0	0	73
7.064442	1.279676	city	9	1	1.190028	1.190028	0	1	0	0	CorrectCommission	0.318931	1.002760	0	0	73
8.343981	1.279403	city	5	1	1.074133	1.074133	0	1	0	0	CorrectCommission	0.898782	0.910169	0	0	73
9.623473	1.279581	city	3	1	1.247557	1.247557	0	1	0	0	CorrectCommission	0.031098	0.839607	0	0	73
10.903139	1.279750	mountain	5	0	0.000000	1.311588	1	0	0	0	CorrectOmission	0.289266	0.789293	0	0	73
12.182712	1.279396	mountain	9	0	0.000000	1.336888	1	0	0	0	CorrectOmission	0.415848	0.756309	1	0	73
13.462213	1.279605	city	5	1	1.394118	1.394118	0	1	0	0	CorrectCommission	0.702183	0.737091	1	0	73
14.741875	1.279719	city	6	1	1.553939	1.553939	0	1	0	0	CorrectCommission	1.501807	0.727908	1	0	73
16.021523	1.279577	mountain	1	0	0.000000	1.497364	1	0	0	0	CorrectOmission	1.218747	0.725237	1	0	73
17.301020	1.279419	city	10	1	1.391251	1.391251	0	1	0	0	CorrectCommission	0.687841	0.726121	1	0	73
18.587275	1.293090	city	4	1	1.402461	1.402461	0	1	0	0	CorrectCommission	0.743923	0.728289	1	0	73
19.873606	1.279571	city	10	1	1.187241	1.187241	0	1	0	0	CorrectCommission	0.332872	0.730187	1	0	73
21.153166	1.279548	city	8	1	1.411550	1.411550	0	1	0	0	CorrectCommission	0.789398	0.730893	1	0	73
22.432747	1.279616	city	3	1	1.151383	1.151383	0	1	0	0	CorrectCommission	0.512281	0.729947	1	0	73
23.719002	1.292892	city	8	1	1.053647	1.053647	0	1	0	0	CorrectCommission	1.001277	0.727230	1	0	73
25.005236	1.279579	city	3	1	1.127369	1.127369	0	1	0	0	CorrectCommission	0.632429	0.722823	1	0	73
26.284740	1.279428	city	6	1	1.124073	1.124073	0	1	0	0	CorrectCommission	0.648919	0.716923	1	0	73
27.577644	1.306382	city	1	1	1.125431	1.125431	0	1	0	0	CorrectCommission	0.642125	0.709799	1	0	73
28.870592	1.279513	city	9	1	1.497880	1.497880	0	1	0	0	CorrectCommission	1.221330	0.701775	1	0	73
