onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653194	1.279586	city	1	1	1.354172	1.354172	0	1	0	0	CorrectCommission	0.954837	0.954837	0	0	43
1.932778	1.279581	mountain	5	0	0.000000	1.343942	1	0	0	0	CorrectOmission	0.894921	0.941426	0	0	43
3.212310	1.279484	city	5	1	1.341488	1.341488	0	1	0	0	CorrectCommission	0.880551	0.930313	0	0	43
4.491794	1.279484	mountain	4	0	0.000000	1.354588	1	0	0	0	CorrectOmission	0.957272	0.923497	0	0	43
5.771329	1.279585	city	6	1	1.341074	1.341074	0	1	0	0	CorrectCommission	0.878123	0.922473	0	0	43
7.051003	1.279763	city	2	1	1.258779	1.258779	0	1	0	0	CorrectCommission	0.396146	0.928022	0	0	43
8.330673	1.279578	city	1	1	1.320135	1.320135	0	1	0	0	CorrectCommission	0.755490	0.940068	0	0	43
9.610192	1.279459	city	3	1	1.396508	1.396508	0	1	0	0	CorrectCommission	1.202784	0.957569	0	0	43
10.896435	1.293026	city	1	1	1.093706	1.093706	0	1	0	0	CorrectCommission	0.570637	0.978642	0	0	43
12.182739	1.279583	city	3	1	1.126456	1.126456	0	1	0	0	CorrectCommission	0.378829	1.000722	0	0	43
13.462292	1.279522	city	10	1	1.129528	1.129528	0	1	0	0	CorrectCommission	0.360839	1.020832	0	0	43
14.741870	1.279635	city	6	1	0.992861	0.992861	0	1	0	0	CorrectCommission	1.161254	1.036036	0	0	43
16.021381	1.279387	city	9	1	0.870912	0.870912	0	1	0	0	CorrectCommission	1.875475	1.043811	0	0	43
17.307533	1.292919	city	3	1	0.624551	0.624551	0	1	0	0	CorrectCommission	3.318334	1.042496	0	0	43
18.593817	1.279647	city	8	1	1.551376	1.551376	0	1	0	0	CorrectCommission	2.109804	1.031466	0	0	43
19.873474	1.279668	city	7	1	1.234726	1.234726	0	1	0	0	CorrectCommission	0.255277	1.011289	0	0	43
21.159775	1.292932	city	4	1	1.111394	1.111394	0	1	0	0	CorrectCommission	0.467041	0.983512	0	0	43
22.452681	1.292881	city	1	1	1.140650	1.140650	0	1	0	0	CorrectCommission	0.295697	0.950291	0	0	43
23.738913	1.279584	city	3	1	1.125216	1.125216	0	1	0	0	CorrectCommission	0.386093	0.914096	0	0	43
25.018476	1.279542	city	7	1	1.123902	1.123902	0	1	0	0	CorrectCommission	0.393784	0.877320	0	0	43
26.298054	1.279613	city	10	1	0.857693	0.857693	0	1	0	0	CorrectCommission	1.952893	0.841996	0	0	43
27.577602	1.279484	city	5	1	1.394865	1.394865	0	1	0	0	CorrectCommission	1.193161	0.809600	0	0	43
28.857141	1.279596	mountain	10	1	1.175929	1.175929	0	0	1	0	CommissionError	0.089082	0.781093	1	0	43
30.136766	1.279653	city	10	1	1.126933	1.126933	0	1	0	0	CorrectCommission	0.376037	0.756956	1	0	43
31.416384	1.279581	city	2	1	1.334915	1.334915	0	1	0	0	CorrectCommission	0.842052	0.737287	1	0	43
32.695965	1.279583	city	7	1	1.340723	1.340723	0	1	0	0	CorrectCommission	0.876071	0.721929	1	0	43
33.975464	1.279417	city	8	1	1.139285	1.139285	0	1	0	0	CorrectCommission	0.303693	0.710624	1	0	43
35.268383	1.306420	city	3	1	0.940159	0.940159	0	1	0	0	CorrectCommission	1.469916	0.703106	1	0	43
36.568050	1.292914	city	10	1	1.150971	1.150971	0	1	0	0	CorrectCommission	0.235250	0.699088	1	0	43
37.860947	1.292877	city	3	1	1.152811	1.152811	0	1	0	0	CorrectCommission	0.224477	0.698331	1	0	43
