onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.652902	1.279550	city	9	1	1.240678	1.240678	0	1	0	0	CorrectCommission	0.576785	0.576785	1	0	41
1.932534	1.279716	city	4	1	1.448186	1.448186	0	1	0	0	CorrectCommission	0.135782	0.596136	1	0	41
3.212100	1.279416	city	3	1	1.549778	1.549778	0	1	0	0	CorrectCommission	0.484641	0.615043	1	0	41
4.505009	1.306402	city	10	1	1.767133	1.767133	0	1	0	0	CorrectCommission	1.231020	0.633181	1	0	41
5.798012	1.279605	city	8	1	1.834315	1.834315	0	1	0	0	CorrectCommission	1.461718	0.650465	1	0	41
7.084176	1.292722	city	9	0	0.000000	1.428662	0	0	0	1	OmissionError	0.068738	0.667038	1	0	41
8.377072	1.293071	city	1	1	1.085795	1.085795	0	1	0	0	CorrectCommission	1.108641	0.683302	1	0	41
9.663407	1.279597	city	6	1	1.341335	1.341335	0	1	0	0	CorrectCommission	0.231138	0.699667	1	0	41
10.942905	1.279400	city	10	1	1.196858	1.196858	0	1	0	0	CorrectCommission	0.727262	0.716500	1	0	41
12.222476	1.279742	mountain	6	0	0.000000	1.269510	1	0	0	0	CorrectOmission	0.477778	0.733878	1	0	41
13.502133	1.279574	city	9	1	1.444751	1.444751	0	1	0	0	CorrectCommission	0.123986	0.751562	1	0	41
14.781632	1.279422	city	5	1	1.608037	1.608037	0	1	0	0	CorrectCommission	0.684698	0.768922	1	0	41
16.061127	1.279569	city	1	1	1.776474	1.776474	0	1	0	0	CorrectCommission	1.263097	0.785011	1	0	41
17.340790	1.279757	mountain	8	0	0.000000	1.763967	1	0	0	0	CorrectOmission	1.220147	0.798720	0	0	41
18.620466	1.279593	city	2	1	1.658998	1.658998	0	1	0	0	CorrectCommission	0.859693	0.808978	0	0	41
19.900042	1.279561	city	5	1	1.550052	1.550052	0	1	0	0	CorrectCommission	0.485581	0.814929	0	0	41
21.179575	1.279504	city	8	1	1.981970	1.981970	0	1	0	0	CorrectCommission	1.968753	0.816063	0	0	41
22.459156	1.279660	city	6	0	0.000000	1.495111	0	0	0	1	OmissionError	0.296917	0.812235	0	0	41
23.738770	1.279564	city	10	1	0.982759	0.982759	0	1	0	0	CorrectCommission	1.462459	0.803754	0	0	41
25.018343	1.279584	city	1	1	1.338200	1.338200	0	1	0	0	CorrectCommission	0.241903	0.791227	1	0	41
26.304596	1.292924	mountain	3	0	0.000000	1.542938	1	0	0	0	CorrectOmission	0.461151	0.775510	1	0	41
27.597467	1.292816	city	3	1	1.649880	1.649880	0	1	0	0	CorrectCommission	0.828384	0.757554	1	0	41
