onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653105	1.279406	city	7	1	1.124493	1.124493	0	1	0	0	CorrectCommission	0.877141	0.877141	0	0	100
1.939260	1.292905	city	10	1	0.978559	0.978559	0	1	0	0	CorrectCommission	0.241194	0.779818	0	0	100
3.225503	1.279581	city	6	1	1.022406	1.022406	0	1	0	0	CorrectCommission	0.094818	0.686597	1	0	100
4.518506	1.306424	city	2	1	0.949832	0.949832	0	1	0	0	CorrectCommission	0.461331	0.601190	1	0	100
5.818102	1.292769	city	4	1	0.968329	0.968329	0	1	0	0	CorrectCommission	0.319588	0.526616	1	0	100
7.104259	1.279545	city	7	1	1.017204	1.017204	0	1	0	0	CorrectCommission	0.054952	0.464972	1	0	100
8.390477	1.292889	mountain	9	0	0.000000	1.032018	1	0	0	0	CorrectOmission	0.168482	0.417284	1	0	100
9.676723	1.279603	city	1	1	1.024818	1.024818	0	1	0	0	CorrectCommission	0.113307	0.383496	1	0	100
10.969711	1.306373	city	3	1	1.007649	1.007649	0	1	0	0	CorrectCommission	0.018266	0.362589	1	0	100
12.282681	1.319568	city	6	1	1.007442	1.007442	0	1	0	0	CorrectCommission	0.019857	0.352772	1	0	100
13.588849	1.292767	city	4	1	0.987877	0.987877	0	1	0	0	CorrectCommission	0.169782	0.351738	1	0	100
14.875093	1.279720	city	9	1	0.914743	0.914743	0	1	0	0	CorrectCommission	0.730234	0.356930	1	0	100
16.161327	1.292750	city	2	1	0.889277	0.889277	0	1	0	0	CorrectCommission	0.925384	0.365814	1	0	100
17.447580	1.279755	city	5	1	1.071084	1.071084	0	1	0	0	CorrectCommission	0.467850	0.376115	1	0	100
18.740578	1.306242	city	8	1	0.995288	0.995288	0	1	0	0	CorrectCommission	0.112996	0.386002	1	0	100
20.060144	1.332892	city	3	1	0.990898	0.990898	0	1	0	0	CorrectCommission	0.146636	0.394151	1	0	100
21.379625	1.306070	mountain	8	0	0.000000	1.060896	1	0	0	0	CorrectOmission	0.389778	0.399785	1	0	100
22.672523	1.279727	city	5	1	1.127608	1.127608	0	1	0	0	CorrectCommission	0.901012	0.402626	1	0	100
23.958773	1.292769	city	4	1	1.113362	1.113362	0	1	0	0	CorrectCommission	0.791838	0.402834	1	0	100
25.244932	1.279553	city	7	1	1.021215	1.021215	0	1	0	0	CorrectCommission	0.085694	0.400916	1	0	100
26.524515	1.279612	city	5	1	0.970261	0.970261	0	1	0	0	CorrectCommission	0.304782	0.397617	1	0	100
27.810843	1.293043	city	2	1	0.937258	0.937258	0	1	0	0	CorrectCommission	0.557693	0.393783	1	0	100
29.097075	1.279418	city	5	1	1.026224	1.026224	0	1	0	0	CorrectCommission	0.124080	0.390284	1	0	100
30.396563	1.319559	city	3	1	1.062377	1.062377	0	1	0	0	CorrectCommission	0.401130	0.387929	1	0	100
31.702797	1.292909	city	5	1	1.047846	1.047846	0	1	0	0	CorrectCommission	0.289770	0.387386	1	0	100
32.989056	1.279612	city	8	1	0.970089	0.970089	0	1	0	0	CorrectCommission	0.306101	0.389173	1	0	100
34.275349	1.292975	city	2	1	1.036700	1.036700	0	1	0	0	CorrectCommission	0.204362	0.393651	1	0	100
35.574924	1.306175	city	4	1	0.942316	0.942316	0	1	0	0	CorrectCommission	0.518933	0.401042	1	0	100
36.887859	1.319691	city	2	1	0.925035	0.925035	0	1	0	0	CorrectCommission	0.651364	0.411424	1	0	100
38.194157	1.292910	city	3	1	0.929596	0.929596	0	1	0	0	CorrectCommission	0.616412	0.424757	1	0	100
39.493740	1.306255	city	10	1	1.008707	1.008707	0	1	0	0	CorrectCommission	0.010162	0.440859	1	0	100
