onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653100	1.279553	city	7	1	1.766233	1.766233	0	1	0	0	CorrectCommission	1.821813	1.821813	0	0	88
1.932676	1.279598	city	3	1	1.298666	1.298666	0	1	0	0	CorrectCommission	0.540494	1.728770	0	0	88
3.212265	1.279581	city	6	1	1.255005	1.255005	0	1	0	0	CorrectCommission	0.761082	1.642582	0	0	88
4.491831	1.279551	mountain	2	0	0.000000	1.338856	1	0	0	0	CorrectOmission	0.337442	1.569204	0	0	88
5.771959	1.280705	city	3	1	1.390817	1.390817	0	1	0	0	CorrectCommission	0.074916	1.512979	0	0	88
7.051517	1.278410	city	1	1	1.251490	1.251490	0	1	0	0	CorrectCommission	0.778843	1.476139	0	0	88
8.330552	1.279661	city	10	1	0.963978	0.963978	0	1	0	0	CorrectCommission	2.231449	1.458714	0	0	88
9.610153	1.279540	city	5	1	1.127379	1.127379	0	1	0	0	CorrectCommission	1.405896	1.458670	0	0	88
10.889712	1.279578	city	2	1	1.015749	1.015749	0	1	0	0	CorrectCommission	1.969886	1.472457	0	0	88
12.169302	1.279601	city	5	1	1.187578	1.187578	0	1	0	0	CorrectCommission	1.101749	1.495451	0	0	88
13.448895	1.279584	city	4	1	1.177475	1.177475	0	1	0	0	CorrectCommission	1.152791	1.522623	0	0	88
14.728475	1.279577	city	9	1	1.134984	1.134984	0	1	0	0	CorrectCommission	1.367472	1.549008	0	0	88
16.014715	1.292902	mountain	1	0	0.000000	0.969018	1	0	0	0	CorrectOmission	2.205985	1.570176	0	0	88
17.300928	1.279524	city	10	1	0.854934	0.854934	0	1	0	0	CorrectCommission	2.782379	1.582540	0	0	88
18.580509	1.279638	city	3	1	0.968085	0.968085	0	1	0	0	CorrectCommission	2.210702	1.583568	0	0	88
19.860111	1.279568	city	4	1	1.287579	1.287579	0	1	0	0	CorrectCommission	0.596508	1.571834	0	0	88
21.146358	1.292927	city	7	1	1.085175	1.085175	0	1	0	0	CorrectCommission	1.619124	1.546992	0	0	88
22.432596	1.279550	city	6	1	1.125019	1.125019	0	1	0	0	CorrectCommission	1.417816	1.509616	0	0	88
23.712160	1.279578	city	1	1	0.974447	0.974447	0	1	0	0	CorrectCommission	2.178556	1.461141	0	0	88
24.991739	1.279581	mountain	10	1	0.983211	0.983211	0	0	1	0	CommissionError	2.134278	1.403653	0	0	88
26.271334	1.279606	city	2	1	1.128316	1.128316	0	1	0	0	CorrectCommission	1.401159	1.339742	0	0	88
27.550920	1.279567	city	4	1	1.237903	1.237903	0	1	0	0	CorrectCommission	0.847488	1.272254	0	0	88
28.837080	1.292753	city	9	1	1.104947	1.104947	0	1	0	0	CorrectCommission	1.519228	1.204033	0	0	88
30.123247	1.279581	city	10	1	1.125035	1.125035	0	1	0	0	CorrectCommission	1.417735	1.137649	0	0	88
31.409571	1.293066	city	7	1	1.438782	1.438782	0	1	0	0	CorrectCommission	0.167419	1.075164	0	0	88
32.702477	1.292748	city	5	1	1.355484	1.355484	0	1	0	0	CorrectCommission	0.253430	1.017964	0	0	88
33.995373	1.293038	city	7	1	1.421333	1.421333	0	1	0	0	CorrectCommission	0.079260	0.966639	0	0	88
35.281620	1.279457	city	4	1	1.138504	1.138504	0	1	0	0	CorrectCommission	1.349688	0.921046	0	0	88
36.561214	1.279732	city	6	1	1.194498	1.194498	0	1	0	0	CorrectCommission	1.066786	0.880417	0	0	88
37.840866	1.279571	city	5	1	1.791247	1.791247	0	1	0	0	CorrectCommission	1.948191	0.843688	0	0	88
39.127094	1.292891	city	9	1	1.583866	1.583866	0	1	0	0	CorrectCommission	0.900434	0.809655	0	0	88
40.420010	1.292937	city	8	1	1.409748	1.409748	0	1	0	0	CorrectCommission	0.020728	0.777318	0	0	88
41.712894	1.292830	city	7	1	1.476421	1.476421	0	1	0	0	CorrectCommission	0.357583	0.745942	1	0	88
43.012371	1.306126	city	2	1	1.596788	1.596788	0	1	0	0	CorrectCommission	0.965722	0.715150	1	0	88
44.331898	1.332925	city	9	1	1.737864	1.737864	0	1	0	0	CorrectCommission	1.678484	0.684932	1	0	88
45.664898	1.333075	city	2	1	1.419358	1.419358	0	1	0	0	CorrectCommission	0.069281	0.655562	1	0	88
46.977791	1.292712	city	7	1	1.458329	1.458329	0	1	0	0	CorrectCommission	0.266177	0.627552	1	0	88
48.270687	1.293078	city	8	1	1.260432	1.260432	0	1	0	0	CorrectCommission	0.733666	0.601491	1	0	88
49.557003	1.279557	city	9	1	1.338335	1.338335	0	1	0	0	CorrectCommission	0.340071	0.577905	1	0	88
53.102432	5.811304	break	0	0	0.000000	1.295597	0	0	0	0	ThoughtProbe	0.556001	0.557254	1	88	88
56.687912	1.359652	city	7	1	1.283679	1.283679	0	1	0	0	CorrectCommission	0.616212	0.539834	1	0	8.788235e+01
58.007542	1.279610	city	3	1	1.454046	1.454046	0	1	0	0	CorrectCommission	0.244538	0.525805	1	0	8.776471e+01
59.293732	1.292766	city	10	1	1.477079	1.477079	0	1	0	0	CorrectCommission	0.360910	0.515234	1	0	8.764706e+01
60.593307	1.306384	city	7	1	1.558672	1.558672	0	1	0	0	CorrectCommission	0.773144	0.508082	1	0	8.752941e+01
61.886292	1.279589	mountain	5	0	0.000000	1.557787	1	0	0	0	CorrectOmission	0.768673	0.504236	1	0	8.741176e+01
63.165874	1.279572	city	4	1	1.512361	1.512361	0	1	0	0	CorrectCommission	0.539164	0.503506	1	0	8.729412e+01
64.445442	1.279559	city	6	1	1.460330	1.460330	0	1	0	0	CorrectCommission	0.276285	0.505634	1	0	8.717647e+01
65.725006	1.279577	city	2	1	1.409933	1.409933	0	1	0	0	CorrectCommission	0.021665	0.510233	1	0	8.705882e+01
67.011261	1.292934	city	1	1	1.319935	1.319935	0	1	0	0	CorrectCommission	0.433033	0.516776	1	0	8.694118e+01
68.304825	1.294189	city	6	1	1.434182	1.434182	0	1	0	0	CorrectCommission	0.144178	0.524572	1	0	8.682353e+01
69.597717	1.291595	city	4	1	1.713554	1.713554	0	1	0	0	CorrectCommission	1.555661	0.532834	1	0	8.670588e+01
70.896561	1.306096	city	3	1	1.446525	1.446525	0	1	0	0	CorrectCommission	0.206537	0.540704	1	0	8.658824e+01
72.196144	1.293072	city	4	1	1.378348	1.378348	0	1	0	0	CorrectCommission	0.137914	0.547444	1	0	8.647059e+01
73.489128	1.292893	city	3	1	1.207572	1.207572	0	1	0	0	CorrectCommission	1.000731	0.552478	1	0	8.635294e+01
74.788712	1.306269	city	8	1	1.264630	1.264630	0	1	0	0	CorrectCommission	0.712454	0.555456	1	0	8.623529e+01
76.081505	1.279314	mountain	8	0	0.000000	1.518220	1	0	0	0	CorrectOmission	0.568768	0.556333	1	0	8.611765e+01
77.374313	1.306306	city	9	1	1.658824	1.658824	0	1	0	0	CorrectCommission	1.279145	0.555351	1	0	86
78.680634	1.306344	city	1	1	1.376923	1.376923	0	1	0	0	CorrectCommission	0.145111	0.553001	1	0	8.588235e+01
79.980286	1.292952	city	8	1	1.331201	1.331201	0	1	0	0	CorrectCommission	0.376115	0.549933	1	0	8.576471e+01
81.279892	1.306264	city	3	1	1.393338	1.393338	0	1	0	0	CorrectCommission	0.062178	0.546831	1	0	8.564706e+01
82.592751	1.319450	city	5	1	1.462048	1.462048	0	1	0	0	CorrectCommission	0.284966	0.544340	1	0	8.552941e+01
83.898918	1.292885	city	7	1	1.658266	1.658266	0	1	0	0	CorrectCommission	1.276327	0.542988	1	0	8.541176e+01
85.191841	1.292966	city	1	1	1.462543	1.462543	0	1	0	0	CorrectCommission	0.287468	0.543150	1	0	8.529412e+01
86.484810	1.292965	city	10	1	1.249986	1.249986	0	1	0	0	CorrectCommission	0.786440	0.545120	1	0	8.517647e+01
87.784332	1.306081	city	2	1	1.450049	1.450049	0	1	0	0	CorrectCommission	0.224342	0.549068	1	0	8.505882e+01
89.117233	1.359716	city	5	1	1.477017	1.477017	0	1	0	0	CorrectCommission	0.360598	0.555144	1	0	8.494118e+01
90.443558	1.292936	city	10	1	1.250554	1.250554	0	1	0	0	CorrectCommission	0.783573	0.563504	1	0	8.482353e+01
91.729721	1.279401	city	9	1	1.318700	1.318700	0	1	0	0	CorrectCommission	0.439277	0.574358	1	0	8.470588e+01
93.009224	1.279606	city	6	1	1.633501	1.633501	0	1	0	0	CorrectCommission	1.151208	0.587963	1	0	8.458824e+01
94.302208	1.306349	city	2	1	1.410869	1.410869	0	1	0	0	CorrectCommission	0.026392	0.604628	1	0	8.447059e+01
95.608444	1.306131	city	1	1	1.503479	1.503479	0	1	0	0	CorrectCommission	0.494292	0.624697	1	0	8.435294e+01
96.914696	1.306376	city	9	1	1.329446	1.329446	0	1	0	0	CorrectCommission	0.384982	0.648444	1	0	8.423529e+01
98.227661	1.319541	city	4	1	1.609777	1.609777	0	1	0	0	CorrectCommission	1.031342	0.676027	1	0	8.411765e+01
101.199989	4.625118	break	0	0	0.000000	1.583378	0	0	0	0	ThoughtProbe	0.897965	0.707418	1	84	84
104.158936	1.292772	city	6	1	1.412139	1.412139	0	1	0	0	CorrectCommission	0.032812	0.742340	1	0	8.397826e+01
105.465195	1.319757	city	9	1	1.257952	1.257952	0	1	0	0	CorrectCommission	0.746195	0.780189	0	0	8.395652e+01
106.764786	1.279415	city	7	1	1.671251	1.671251	0	1	0	0	CorrectCommission	1.341932	0.819956	0	0	8.393478e+01
108.051025	1.293061	city	10	1	1.424327	1.424327	0	1	0	0	CorrectCommission	0.094390	0.860251	0	0	8.391304e+01
109.337334	1.279564	city	3	1	1.686134	1.686134	0	1	0	0	CorrectCommission	1.417126	0.899364	0	0	8.389130e+01
110.623550	1.292870	city	2	1	1.264044	1.264044	0	1	0	0	CorrectCommission	0.715416	0.935270	0	0	8.386957e+01
111.923149	1.306319	city	3	1	1.195234	1.195234	0	1	0	0	CorrectCommission	1.063070	0.965828	0	0	8.384783e+01
113.216087	1.279558	city	6	1	1.183151	1.183151	0	1	0	0	CorrectCommission	1.124117	0.988933	0	0	8.382609e+01
114.495651	1.279574	city	4	1	1.127538	1.127538	0	1	0	0	CorrectCommission	1.405090	1.002758	0	0	8.380435e+01
115.775215	1.279562	mountain	3	0	0.000000	1.190098	1	0	0	0	CorrectOmission	1.089015	1.005975	0	0	8.378261e+01
117.061348	1.292690	city	10	1	1.224620	1.224620	0	1	0	0	CorrectCommission	0.914599	0.998006	0	0	8.376087e+01
118.367584	1.319785	city	9	1	1.084892	1.084892	0	1	0	0	CorrectCommission	1.620551	0.979156	0	0	8.373913e+01
119.673943	1.292931	city	1	1	0.978600	0.978600	0	1	0	0	CorrectCommission	2.157577	0.950639	0	0	8.371739e+01
120.960182	1.279556	mountain	1	1	1.390044	1.390044	0	0	1	0	CommissionError	0.078821	0.914545	0	0	8.369565e+01
122.239746	1.279572	city	7	1	1.124100	1.124100	0	1	0	0	CorrectCommission	1.422461	0.873682	0	0	8.367391e+01
123.532623	1.306174	mountain	10	0	0.000000	1.201368	1	0	0	0	CorrectOmission	1.032076	0.831174	0	0	8.365217e+01
124.825554	1.279688	city	5	1	1.354006	1.354006	0	1	0	0	CorrectCommission	0.260900	0.790137	0	0	8.363043e+01
126.105095	1.279403	city	8	1	1.314169	1.314169	0	1	0	0	CorrectCommission	0.462165	0.753331	0	0	8.360870e+01
127.404648	1.319696	city	4	1	1.398816	1.398816	0	1	0	0	CorrectCommission	0.034501	0.722756	1	0	8.358696e+01
128.704300	1.279619	city	3	1	1.461443	1.461443	0	1	0	0	CorrectCommission	0.281910	0.699490	1	0	8.356522e+01
129.983887	1.279552	city	10	1	1.337224	1.337224	0	1	0	0	CorrectCommission	0.345685	0.683633	1	0	8.354348e+01
131.270035	1.292748	city	6	1	1.457830	1.457830	0	1	0	0	CorrectCommission	0.263657	0.674449	1	0	8.352174e+01
132.562866	1.292910	city	2	1	1.297476	1.297476	0	1	0	0	CorrectCommission	0.546504	0.670636	1	0	8.350000e+01
133.849182	1.279726	city	10	1	1.036963	1.036963	0	1	0	0	CorrectCommission	1.862708	0.670630	1	0	8.347826e+01
135.135513	1.292923	city	8	1	1.090509	1.090509	0	1	0	0	CorrectCommission	1.592173	0.672916	1	0	8.345652e+01
136.428436	1.292914	mountain	2	0	0.000000	1.293113	1	0	0	0	CorrectOmission	0.568550	0.676372	1	0	8.343478e+01
137.721252	1.292722	city	5	1	1.465051	1.465051	0	1	0	0	CorrectCommission	0.300142	0.680335	1	0	8.341304e+01
139.014160	1.293104	city	3	1	1.426602	1.426602	0	1	0	0	CorrectCommission	0.105882	0.684603	1	0	8.339130e+01
140.327164	1.332914	city	10	1	1.296095	1.296095	0	1	0	0	CorrectCommission	0.553485	0.689321	1	0	8.336957e+01
141.633347	1.279430	city	8	1	1.307116	1.307116	0	1	0	0	CorrectCommission	0.497803	0.694794	1	0	8.334783e+01
142.919556	1.293013	city	2	1	1.663104	1.663104	0	1	0	0	CorrectCommission	1.300773	0.701312	1	0	8.332609e+01
144.225769	1.319399	city	1	1	1.478924	1.478924	0	1	0	0	CorrectCommission	0.370231	0.708939	1	0	8.330435e+01
145.552002	1.333057	city	4	1	1.526929	1.526929	0	1	0	0	CorrectCommission	0.612768	0.717477	1	0	8.328261e+01
146.871674	1.306303	city	9	1	1.267411	1.267411	0	1	0	0	CorrectCommission	0.698406	0.726350	1	0	8.326087e+01
