onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653227	1.279406	mountain	3	0	0.000000	1.661364	1	0	0	0	CorrectOmission	1.419121	1.419121	0	0	100
1.932711	1.279563	city	4	1	1.608034	1.608034	0	1	0	0	CorrectCommission	1.108108	1.314760	0	0	100
3.212367	1.279748	city	3	1	1.554704	1.554704	0	1	0	0	CorrectCommission	0.797096	1.214435	0	0	100
4.498705	1.292928	city	6	1	1.562531	1.562531	0	1	0	0	CorrectCommission	0.842744	1.121774	0	0	100
5.784900	1.279463	city	4	1	1.556060	1.556060	0	1	0	0	CorrectCommission	0.805004	1.039636	0	0	100
7.071152	1.293039	city	10	1	1.330586	1.330586	0	1	0	0	CorrectCommission	0.509912	0.969873	0	0	100
8.370687	1.306031	city	1	1	1.450504	1.450504	0	1	0	0	CorrectCommission	0.189424	0.913194	0	0	100
9.663535	1.279665	city	2	1	1.311771	1.311771	0	1	0	0	CorrectCommission	0.619640	0.869205	0	0	100
10.949870	1.293006	city	7	1	1.275153	1.275153	0	1	0	0	CorrectCommission	0.833186	0.836535	0	0	100
12.236153	1.279559	city	2	1	1.180500	1.180500	0	1	0	0	CorrectCommission	1.385183	0.813109	0	0	100
13.522308	1.292752	mountain	5	0	0.000000	1.431843	1	0	0	0	CorrectOmission	0.080596	0.796443	0	0	100
14.808492	1.279614	city	2	1	1.583798	1.583798	0	1	0	0	CorrectCommission	0.966768	0.784033	0	0	100
16.088083	1.279569	city	8	1	1.190983	1.190983	0	1	0	0	CorrectCommission	1.324050	0.773525	1	0	100
17.367720	1.279706	city	1	1	1.313998	1.313998	0	1	0	0	CorrectCommission	0.606651	0.763062	1	0	100
18.647299	1.279449	city	9	1	1.616387	1.616387	0	1	0	0	CorrectCommission	1.156820	0.751357	1	0	100
19.926804	1.279560	city	7	1	1.289756	1.289756	0	1	0	0	CorrectCommission	0.748024	0.737744	1	0	100
21.213118	1.293068	city	3	1	1.403996	1.403996	0	1	0	0	CorrectCommission	0.081800	0.722195	1	0	100
22.506041	1.292777	city	5	1	1.670546	1.670546	0	1	0	0	CorrectCommission	1.472665	0.705227	1	0	100
23.792210	1.279562	city	1	1	1.313159	1.313159	0	1	0	0	CorrectCommission	0.611543	0.687768	1	0	100
25.078470	1.292961	city	3	1	1.451921	1.451921	0	1	0	0	CorrectCommission	0.197686	0.671083	1	0	100
26.378115	1.306328	city	1	1	1.581180	1.581180	0	1	0	0	CorrectCommission	0.951502	0.656657	1	0	100
27.671083	1.279606	city	7	1	1.447362	1.447362	0	1	0	0	CorrectCommission	0.171099	0.646017	1	0	100
28.957344	1.292915	city	8	1	1.263721	1.263721	0	1	0	0	CorrectCommission	0.899856	0.640763	1	0	100
30.243526	1.279452	city	7	1	1.287806	1.287806	0	1	0	0	CorrectCommission	0.759399	0.642447	1	0	100
31.523094	1.279682	city	8	1	1.394495	1.394495	0	1	0	0	CorrectCommission	0.137208	0.652539	1	0	100
32.802639	1.279404	city	4	1	1.317955	1.317955	0	1	0	0	CorrectCommission	0.583575	0.672333	1	0	100
34.088863	1.293050	city	2	1	1.300985	1.300985	0	1	0	0	CorrectCommission	0.682540	0.702800	1	0	100
35.375191	1.279601	mountain	10	0	0.000000	1.453494	1	0	0	0	CorrectOmission	0.206862	0.744466	1	0	100
36.654781	1.279584	city	9	1	1.560925	1.560925	0	1	0	0	CorrectCommission	0.833379	0.797284	0	0	100
37.934280	1.279413	city	3	1	1.408722	1.408722	0	1	0	0	CorrectCommission	0.054239	0.860370	0	0	100
39.220524	1.293070	city	8	1	1.208108	1.208108	0	1	0	0	CorrectCommission	1.224179	0.931978	0	0	100
40.553432	1.372752	city	3	1	1.228979	1.228979	0	1	0	0	CorrectCommission	1.102465	1.009340	0	0	100
41.879665	1.279713	city	10	1	1.101969	1.101969	0	1	0	0	CorrectCommission	1.843165	1.088800	0	0	100
43.165985	1.292925	city	1	1	1.474714	1.474714	0	1	0	0	CorrectCommission	0.330614	1.165903	0	0	100
44.472183	1.319473	city	10	1	1.435399	1.435399	0	1	0	0	CorrectCommission	0.101336	1.235799	0	0	100
45.778389	1.292936	city	8	1	1.247826	1.247826	0	1	0	0	CorrectCommission	0.992555	1.293671	0	0	100
47.097992	1.346274	city	10	1	1.135469	1.135469	0	1	0	0	CorrectCommission	1.647797	1.335302	0	0	100
48.430828	1.319395	city	7	1	0.889316	0.889316	0	1	0	0	CorrectCommission	3.083313	1.357695	0	0	100
49.736980	1.292908	city	5	1	0.922655	0.922655	0	1	0	0	CorrectCommission	2.888885	1.359558	0	0	100
53.582466	6.398063	break	0	1	0.655340	0.655340	0	0	0	0	ThoughtProbe	4.447815	1.341593	0	100	100
57.434635	1.306274	city	3	1	1.276032	1.276032	0	1	0	0	CorrectCommission	0.828064	1.306388	0	0	100
58.727547	1.279555	city	10	1	1.384274	1.384274	0	1	0	0	CorrectCommission	0.196815	1.258196	0	0	100
60.060394	1.386136	city	5	1	1.522396	1.522396	0	1	0	0	CorrectCommission	0.608687	1.202126	0	0	100
61.413273	1.319625	city	1	1	1.404087	1.404087	0	1	0	0	CorrectCommission	0.081268	1.143470	0	0	100
62.732838	1.319503	mountain	8	0	0.000000	1.437692	1	0	0	0	CorrectOmission	0.114710	1.087038	0	0	100
64.032341	1.279495	city	4	1	1.515347	1.515347	0	1	0	0	CorrectCommission	0.567579	1.036611	0	0	100
65.318611	1.293059	city	10	1	1.529189	1.529189	0	1	0	0	CorrectCommission	0.648300	0.994703	0	0	100
66.611603	1.292924	city	6	1	1.863176	1.863176	0	1	0	0	CorrectCommission	2.596049	0.962585	0	0	100
67.917847	1.319564	city	1	1	1.557589	1.557589	0	1	0	0	CorrectCommission	0.813926	0.940398	0	0	100
69.224083	1.292908	city	2	1	1.595613	1.595613	0	1	0	0	CorrectCommission	1.035674	0.927584	0	0	100
70.530312	1.319546	city	7	1	1.556656	1.556656	0	1	0	0	CorrectCommission	0.808484	0.922984	0	0	100
71.836548	1.292925	city	5	1	1.529597	1.529597	0	1	0	0	CorrectCommission	0.650679	0.925160	0	0	100
73.142723	1.319418	city	10	1	1.352302	1.352302	0	1	0	0	CorrectCommission	0.383270	0.932476	0	0	100
74.442291	1.279725	city	3	1	1.510020	1.510020	0	1	0	0	CorrectCommission	0.536511	0.943189	0	0	100
75.735275	1.306246	city	8	1	1.225080	1.225080	0	1	0	0	CorrectCommission	1.125204	0.955464	0	0	100
77.041504	1.306215	city	10	1	1.207454	1.207454	0	1	0	0	CorrectCommission	1.227997	0.967450	0	0	100
78.334435	1.279645	city	1	1	1.307074	1.307074	0	1	0	0	CorrectCommission	0.647030	0.977379	0	0	100
79.647324	1.346133	city	6	1	1.301455	1.301455	0	1	0	0	CorrectCommission	0.679799	0.983663	0	0	100
80.966866	1.292953	city	8	1	1.093676	1.093676	0	1	0	0	CorrectCommission	1.891527	0.985033	0	0	100
