onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.679632	1.332683	city	5	1	1.800087	1.800087	0	1	0	0	CorrectCommission	3.108602	3.108602	0	0	73
2.012512	1.333077	city	7	1	1.497543	1.497543	0	1	0	0	CorrectCommission	1.625501	2.691948	0	0	73
3.352067	1.346033	city	2	1	1.264028	1.264028	0	1	0	0	CorrectCommission	0.480783	2.289337	0	0	73
4.698286	1.346404	city	5	1	1.048210	1.048210	0	1	0	0	CorrectCommission	0.577179	1.913590	0	0	73
6.011282	1.279589	mountain	4	0	0.000000	1.090289	1	0	0	0	CorrectOmission	0.370903	1.575290	0	0	73
7.317440	1.332727	city	2	1	1.180229	1.180229	0	1	0	0	CorrectCommission	0.069991	1.282035	0	0	73
8.643581	1.319557	city	4	1	1.107993	1.107993	0	1	0	0	CorrectCommission	0.284117	1.038117	0	0	73
9.949917	1.293114	city	6	1	1.137298	1.137298	0	1	0	0	CorrectCommission	0.140459	0.844518	0	0	73
11.236158	1.279370	city	7	1	1.142460	1.142460	0	1	0	0	CorrectCommission	0.115154	0.699259	1	0	73
12.535713	1.319739	mountain	5	0	0.000000	1.108811	1	0	0	0	CorrectOmission	0.280106	0.597986	1	0	73
13.848705	1.306245	city	2	1	1.101343	1.101343	0	1	0	0	CorrectCommission	0.316714	0.534643	1	0	73
15.148304	1.292953	city	6	1	1.185050	1.185050	0	1	0	0	CorrectCommission	0.093625	0.502236	1	0	73
16.441210	1.292858	city	5	1	1.151560	1.151560	0	1	0	0	CorrectCommission	0.070547	0.493517	1	0	73
17.734095	1.292912	city	2	1	1.141089	1.141089	0	1	0	0	CorrectCommission	0.121874	0.501565	1	0	73
19.026958	1.292814	city	9	1	1.062041	1.062041	0	1	0	0	CorrectCommission	0.509375	0.520273	1	0	73
20.319773	1.292816	city	4	1	0.900314	0.900314	0	1	0	0	CorrectCommission	1.302180	0.544670	1	0	73
21.606018	1.279673	city	3	1	0.867909	0.867909	0	1	0	0	CorrectCommission	1.461032	0.571077	1	0	73
