onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.652751	1.279543	mountain	2	0	0.000000	1.643973	1	0	0	0	CorrectOmission	1.692407	1.692407	0	0	67
1.959042	1.333040	city	6	1	1.550175	1.550175	0	1	0	0	CorrectCommission	1.302856	1.502490	0	0	67
3.265269	1.279413	city	8	1	1.456377	1.456377	0	1	0	0	CorrectCommission	0.913304	1.319360	0	0	67
4.544772	1.279593	city	2	1	1.396633	1.396633	0	1	0	0	CorrectCommission	0.665180	1.149286	0	0	67
5.824449	1.279760	city	1	1	1.208177	1.208177	0	1	0	0	CorrectCommission	0.117493	0.997533	0	0	67
7.104021	1.279384	mountain	3	1	1.162753	1.162753	0	0	1	0	CommissionError	0.306143	0.867976	0	0	67
8.383514	1.279603	city	5	1	1.314787	1.314787	0	1	0	0	CorrectCommission	0.325267	0.762870	0	0	67
9.676426	1.306221	city	7	1	1.363517	1.363517	0	1	0	0	CorrectCommission	0.527650	0.682744	1	0	67
10.969373	1.279671	city	4	1	1.177641	1.177641	0	1	0	0	CorrectCommission	0.244310	0.626462	1	0	67
12.248960	1.279505	city	1	1	1.234416	1.234416	0	1	0	0	CorrectCommission	0.008521	0.591413	1	0	67
13.528506	1.279586	city	6	1	1.229675	1.229675	0	1	0	0	CorrectCommission	0.028211	0.573808	1	0	67
14.814757	1.292915	city	3	1	1.367067	1.367067	0	1	0	0	CorrectCommission	0.542390	0.569116	1	0	67
16.107700	1.292970	city	10	1	1.244324	1.244324	0	1	0	0	CorrectCommission	0.032629	0.572524	1	0	67
17.394014	1.279659	city	2	1	1.523139	1.523139	0	1	0	0	CorrectCommission	1.190571	0.579470	1	0	67
18.673544	1.279398	city	4	1	1.678665	1.678665	0	1	0	0	CorrectCommission	1.836487	0.586050	1	0	67
19.959738	1.292991	city	2	1	1.418972	1.418972	0	1	0	0	CorrectCommission	0.757956	0.589428	1	0	67
21.245985	1.279501	city	4	1	1.402032	1.402032	0	1	0	0	CorrectCommission	0.687603	0.588054	1	0	67
22.525616	1.279761	city	10	1	1.288310	1.288310	0	1	0	0	CorrectCommission	0.215307	0.581687	1	0	67
23.805191	1.279389	mountain	9	0	0.000000	1.416873	1	0	0	0	CorrectOmission	0.749239	0.571303	1	0	67
25.091339	1.292907	city	7	1	1.511368	1.511368	0	1	0	0	CorrectCommission	1.141688	0.558794	1	0	67
26.417570	1.359554	city	10	1	1.295447	1.295447	0	1	0	0	CorrectCommission	0.244946	0.546609	1	0	67
27.737162	1.279628	city	9	1	1.282190	1.282190	0	1	0	0	CorrectCommission	0.189890	0.537353	1	0	67
29.030151	1.306351	city	3	1	1.168570	1.168570	0	1	0	0	CorrectCommission	0.281984	0.533330	1	0	67
30.323124	1.279596	city	2	1	1.347321	1.347321	0	1	0	0	CorrectCommission	0.460384	0.536170	1	0	67
31.602703	1.279562	city	8	1	1.234685	1.234685	0	1	0	0	CorrectCommission	0.007401	0.546630	1	0	67
32.882221	1.279471	city	7	1	1.283144	1.283144	0	1	0	0	CorrectCommission	0.193850	0.564497	1	0	67
34.168407	1.292908	city	1	1	1.137659	1.137659	0	1	0	0	CorrectCommission	0.410359	0.588666	1	0	67
35.461372	1.293018	city	6	1	1.298166	1.298166	0	1	0	0	CorrectCommission	0.256238	0.617408	1	0	67
36.747681	1.279598	city	2	1	1.444757	1.444757	0	1	0	0	CorrectCommission	0.865047	0.648742	1	0	67
38.027180	1.279399	city	7	1	1.502111	1.502111	0	1	0	0	CorrectCommission	1.103240	0.680804	1	0	67
39.306686	1.279618	city	5	1	1.507044	1.507044	0	1	0	0	CorrectCommission	1.123728	0.712267	1	0	67
40.586266	1.279536	city	1	1	1.515976	1.515976	0	1	0	0	CorrectCommission	1.160826	0.742600	1	0	67
41.872578	1.293094	city	9	1	1.465958	1.465958	0	1	0	0	CorrectCommission	0.953093	0.772114	0	0	67
43.158825	1.279393	city	3	1	1.505336	1.505336	0	1	0	0	CorrectCommission	1.116634	0.801860	0	0	67
44.445065	1.293092	city	9	1	1.513525	1.513525	0	1	0	0	CorrectCommission	1.150647	0.833322	0	0	67
45.731407	1.279589	city	6	1	1.249281	1.249281	0	1	0	0	CorrectCommission	0.053216	0.867930	0	0	67
47.024250	1.306098	city	2	1	1.216728	1.216728	0	1	0	0	CorrectCommission	0.081978	0.906663	0	0	67
48.323814	1.293032	city	4	1	1.082263	1.082263	0	1	0	0	CorrectCommission	0.640424	0.949618	0	0	67
49.610115	1.279568	city	5	1	1.293998	1.293998	0	1	0	0	CorrectCommission	0.238929	0.995796	0	0	67
50.249897	12.862459	break	0	1	1.130302	1.130302	0	0	0	0	ThoughtProbe	0.440916	1.043178	0	67	67
63.752079	1.279448	city	2	1	1.568006	1.568006	0	1	0	0	CorrectCommission	1.376910	1.088948	0	0	6.754348e+01
65.058327	1.333039	city	5	1	1.827326	1.827326	0	1	0	0	CorrectCommission	2.453889	1.129941	0	0	6.808696e+01
66.371300	1.292914	city	10	1	1.636738	1.636738	0	1	0	0	CorrectCommission	1.662361	1.163178	0	0	6.863043e+01
67.657494	1.279471	city	3	1	1.767782	1.767782	0	1	0	0	CorrectCommission	2.206596	1.186381	0	0	6.917391e+01
68.937050	1.279636	mountain	9	0	0.000000	1.579359	1	0	0	0	CorrectOmission	1.424060	1.198245	0	0	6.971739e+01
70.223251	1.292776	city	9	1	1.407356	1.407356	0	1	0	0	CorrectCommission	0.709717	1.198644	0	0	7.026087e+01
71.509430	1.279569	city	2	1	1.587660	1.587660	0	1	0	0	CorrectCommission	1.458533	1.188522	0	0	7.080435e+01
72.802322	1.306220	city	6	1	1.638425	1.638425	0	1	0	0	CorrectCommission	1.669364	1.169612	0	0	7.134783e+01
74.095314	1.279762	city	10	1	1.416338	1.416338	0	1	0	0	CorrectCommission	0.747020	1.144097	0	0	7.189130e+01
75.374969	1.279559	city	5	1	1.390986	1.390986	0	1	0	0	CorrectCommission	0.641728	1.114244	0	0	7.243478e+01
76.654541	1.279577	city	8	1	1.569536	1.569536	0	1	0	0	CorrectCommission	1.383263	1.082020	0	0	7.297826e+01
77.954063	1.319470	city	10	1	1.289745	1.289745	0	1	0	0	CorrectCommission	0.221267	1.048886	0	0	7.352174e+01
79.253624	1.279646	mountain	5	0	0.000000	1.460010	1	0	0	0	CorrectOmission	0.928393	1.015784	0	0	7.406522e+01
80.533249	1.279607	city	4	1	1.629405	1.629405	0	1	0	0	CorrectCommission	1.631906	0.983124	0	0	7.460870e+01
81.812859	1.279606	city	5	1	1.347004	1.347004	0	1	0	0	CorrectCommission	0.459070	0.951008	0	0	7.515217e+01
83.092445	1.279580	city	3	1	1.614150	1.614150	0	1	0	0	CorrectCommission	1.568551	0.919462	0	0	7.569565e+01
84.371933	1.279396	mountain	4	0	0.000000	1.597964	1	0	0	0	CorrectOmission	1.501327	0.888541	0	0	7.623913e+01
85.651505	1.279736	city	5	1	1.402937	1.402937	0	1	0	0	CorrectCommission	0.691365	0.858532	0	0	7.678261e+01
86.931129	1.279514	city	4	1	1.133564	1.133564	0	1	0	0	CorrectCommission	0.427369	0.829940	0	0	7.732609e+01
88.210693	1.279626	city	6	1	1.137034	1.137034	0	1	0	0	CorrectCommission	0.412956	0.803365	0	0	7.786957e+01
89.490311	1.279595	city	8	1	0.981347	0.981347	0	1	0	0	CorrectCommission	1.059537	0.779383	0	0	7.841304e+01
90.769814	1.279425	city	7	1	1.087188	1.087188	0	1	0	0	CorrectCommission	0.619972	0.758352	0	0	7.895652e+01
92.049232	1.279413	city	2	1	1.086194	1.086194	0	1	0	0	CorrectCommission	0.624099	0.740277	1	0	7.950000e+01
93.328819	1.279754	city	4	1	1.186851	1.186851	0	1	0	0	CorrectCommission	0.206062	0.724696	1	0	8.004348e+01
94.608521	1.279652	city	10	1	1.027886	1.027886	0	1	0	0	CorrectCommission	0.866259	0.710750	1	0	8.058696e+01
95.888100	1.279500	city	8	1	1.138632	1.138632	0	1	0	0	CorrectCommission	0.406318	0.697222	1	0	8.113043e+01
97.167725	1.279754	city	10	1	1.029238	1.029238	0	1	0	0	CorrectCommission	0.860641	0.682816	1	0	8.167391e+01
98.447319	1.279427	city	1	1	1.042902	1.042902	0	1	0	0	CorrectCommission	0.803894	0.666357	1	0	8.221739e+01
99.740219	1.306384	city	6	1	0.969867	0.969867	0	1	0	0	CorrectCommission	1.107214	0.647038	1	0	8.276087e+01
101.039864	1.292896	city	10	1	0.971581	0.971581	0	1	0	0	CorrectCommission	1.100098	0.624588	1	0	8.330435e+01
102.332695	1.292769	city	1	1	1.040415	1.040415	0	1	0	0	CorrectCommission	0.814222	0.599381	1	0	8.384783e+01
103.618935	1.279718	city	8	1	1.039710	1.039710	0	1	0	0	CorrectCommission	0.817152	0.572399	1	0	8.439130e+01
104.898506	1.279413	city	5	1	1.240242	1.240242	0	1	0	0	CorrectCommission	0.015677	0.545070	1	0	8.493478e+01
106.178078	1.279742	mountain	9	0	0.000000	1.304673	1	0	0	0	CorrectOmission	0.283264	0.519075	1	0	8.547826e+01
107.471077	1.306247	city	7	1	1.264367	1.264367	0	1	0	0	CorrectCommission	0.115867	0.496044	1	0	8.602174e+01
108.803978	1.359567	city	10	1	1.150687	1.150687	0	1	0	0	CorrectCommission	0.356253	0.477323	1	0	8.656522e+01
110.136826	1.306119	city	1	1	1.152589	1.152589	0	1	0	0	CorrectCommission	0.348356	0.463816	1	0	8.710870e+01
111.429733	1.279696	city	4	1	1.363147	1.363147	0	1	0	0	CorrectCommission	0.526110	0.455894	1	0	8.765217e+01
112.729286	1.319413	city	1	1	1.208697	1.208697	0	1	0	0	CorrectCommission	0.115333	0.453360	1	0	8.819565e+01
114.035522	1.293058	city	8	1	1.163679	1.163679	0	1	0	0	CorrectCommission	0.302298	0.455601	1	0	8.873913e+01
115.321831	1.279563	city	4	1	1.032009	1.032009	0	1	0	0	CorrectCommission	0.849132	0.461647	1	0	8.928261e+01
116.608078	1.292928	city	2	1	1.097426	1.097426	0	1	0	0	CorrectCommission	0.577451	0.470357	1	0	8.982609e+01
117.907646	1.306210	city	7	1	1.152811	1.152811	0	1	0	0	CorrectCommission	0.347432	0.480573	1	0	9.036957e+01
119.200500	1.279492	city	10	1	1.079404	1.079404	0	1	0	0	CorrectCommission	0.652299	0.491236	1	0	9.091304e+01
120.486748	1.293014	city	8	1	1.249688	1.249688	0	1	0	0	CorrectCommission	0.054906	0.501462	1	0	9.145652e+01
121.133255	12.142526	break	0	0	0.000000	1.371502	0	0	0	0	ThoughtProbe	0.560809	0.510634	1	92	92
133.915665	1.279760	city	3	0	0.000000	1.440936	0	0	0	1	OmissionError	0.849177	0.518372	1	0	9.144118e+01
135.195312	1.279533	city	6	1	1.454083	1.454083	0	1	0	0	CorrectCommission	0.903778	0.524576	1	0	9.088235e+01
136.474823	1.279486	city	1	1	1.407034	1.407034	0	1	0	0	CorrectCommission	0.708380	0.529369	1	0	9.032353e+01
137.754379	1.279644	city	7	1	1.236009	1.236009	0	1	0	0	CorrectCommission	0.001906	0.533068	1	0	8.976471e+01
139.033997	1.279598	mountain	10	1	1.228951	1.228951	0	0	1	0	CommissionError	0.031218	0.536105	1	0	8.920588e+01
140.320267	1.292937	city	9	1	1.513904	1.513904	0	1	0	0	CorrectCommission	1.152218	0.538950	1	0	8.864706e+01
141.613113	1.292741	city	5	1	1.331254	1.331254	0	1	0	0	CorrectCommission	0.393659	0.542052	1	0	8.808824e+01
142.905914	1.292870	city	4	1	1.472405	1.472405	0	1	0	0	CorrectCommission	0.979871	0.545814	1	0	8.752941e+01
144.238892	1.373089	city	2	1	1.293547	1.293547	0	1	0	0	CorrectCommission	0.237058	0.550490	1	0	8.697059e+01
145.565231	1.279576	city	8	1	1.196128	1.196128	0	1	0	0	CorrectCommission	0.167535	0.556200	1	0	8.641176e+01
146.844803	1.279579	city	9	1	1.500416	1.500416	0	1	0	0	CorrectCommission	1.096202	0.562886	1	0	8.585294e+01
148.124298	1.279393	city	3	1	1.244898	1.244898	0	1	0	0	CorrectCommission	0.035012	0.570338	1	0	8.529412e+01
149.403793	1.279607	city	2	1	1.445238	1.445238	0	1	0	0	CorrectCommission	0.867041	0.578281	1	0	8.473529e+01
150.683441	1.279689	city	10	1	1.246529	1.246529	0	1	0	0	CorrectCommission	0.041788	0.586394	1	0	8.417647e+01
151.963089	1.279604	city	9	1	1.122345	1.122345	0	1	0	0	CorrectCommission	0.473962	0.594543	1	0	8.361765e+01
153.249359	1.292929	city	5	1	0.930290	0.930290	0	1	0	0	CorrectCommission	1.271582	0.602806	1	0	8.305882e+01
154.535599	1.279557	city	2	1	0.976787	0.976787	0	1	0	0	CorrectCommission	1.078475	0.611586	1	0	8.250000e+01
155.815079	1.279425	city	7	1	1.077932	1.077932	0	1	0	0	CorrectCommission	0.658413	0.621680	1	0	8.194118e+01
157.094589	1.279570	mountain	3	0	0.000000	1.114378	1	0	0	0	CorrectOmission	0.507049	0.634218	1	0	8.138235e+01
158.374252	1.279764	city	4	1	1.191359	1.191359	0	1	0	0	CorrectCommission	0.187340	0.650529	1	0	8.082353e+01
159.653915	1.279575	city	10	1	1.414107	1.414107	0	1	0	0	CorrectCommission	0.737753	0.671969	1	0	8.026471e+01
160.946823	1.306219	city	6	1	1.320851	1.320851	0	1	0	0	CorrectCommission	0.350454	0.699680	1	0	7.970588e+01
162.239655	1.279449	city	9	1	1.461172	1.461172	0	1	0	0	CorrectCommission	0.933218	0.734393	1	0	7.914706e+01
163.519180	1.279623	city	1	1	1.250212	1.250212	0	1	0	0	CorrectCommission	0.057082	0.776228	0	0	7.858824e+01
164.798843	1.279687	city	9	1	1.187435	1.187435	0	1	0	0	CorrectCommission	0.203636	0.824617	0	0	7.802941e+01
166.078461	1.279557	city	8	1	0.965374	0.965374	0	1	0	0	CorrectCommission	1.125874	0.878247	0	0	7.747059e+01
167.364700	1.292926	city	5	1	0.950096	0.950096	0	1	0	0	CorrectCommission	1.189326	0.935131	0	0	7.691176e+01
168.650955	1.279581	city	7	1	1.034824	1.034824	0	1	0	0	CorrectCommission	0.837445	0.992746	0	0	7.635294e+01
169.957108	1.332715	city	9	1	0.946834	0.946834	0	1	0	0	CorrectCommission	1.202873	1.048270	0	0	7.579412e+01
171.263336	1.279733	city	3	1	0.921184	0.921184	0	1	0	0	CorrectCommission	1.309401	1.098744	0	0	7.523529e+01
172.542984	1.279585	city	8	1	0.702447	0.702447	0	1	0	0	CorrectCommission	2.217837	1.141351	0	0	7.467647e+01
173.822586	1.279602	city	2	1	1.027557	1.027557	0	1	0	0	CorrectCommission	0.867624	1.173613	0	0	7.411765e+01
175.108826	1.292892	city	3	1	1.200781	1.200781	0	1	0	0	CorrectCommission	0.148209	1.193656	0	0	7.355882e+01
175.755280	10.489778	break	0	0	0.000000	1.635520	0	0	0	0	ThoughtProbe	1.657303	1.200340	0	73	73
186.891571	1.293029	city	3	1	1.701110	1.701110	0	1	0	0	CorrectCommission	1.929702	1.193382	0	0	7.322500e+01
188.184525	1.292888	city	4	1	0.766885	0.766885	0	1	0	0	CorrectCommission	1.950216	1.173571	0	0	7.345000e+01
189.470749	1.279557	city	1	1	0.770348	0.770348	0	1	0	0	CorrectCommission	1.935836	1.142714	0	0	7.367500e+01
190.750259	1.279462	city	9	1	1.550208	1.550208	0	1	0	0	CorrectCommission	1.302993	1.103525	0	0	7.390000e+01
