onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone	ThoughtProbe	ThoughtProbe_Interpolated
0.653180	1.279933	city	4	1	1.181325	1.181325	0	1	0	0	CorrectCommission	0.749976	0.749976	0	0	87
1.932838	1.279383	city	1	1	1.070768	1.070768	0	1	0	0	CorrectCommission	1.511689	0.770755	0	0	87
3.212323	1.279587	city	6	1	1.447824	1.447824	0	1	0	0	CorrectCommission	1.086136	0.788110	0	0	87
4.491852	1.279472	mountain	3	0	0.000000	1.491838	1	0	0	0	CorrectOmission	1.389378	0.799122	0	0	87
5.771372	1.279567	city	2	1	1.447993	1.447993	0	1	0	0	CorrectCommission	1.087301	0.801755	0	0	87
7.050951	1.279591	city	8	1	1.561475	1.561475	0	1	0	0	CorrectCommission	1.869165	0.795116	0	0	87
8.330598	1.279703	city	5	1	1.444293	1.444293	0	1	0	0	CorrectCommission	1.061808	0.779461	0	0	87
9.610193	1.279488	city	8	1	1.305777	1.305777	0	1	0	0	CorrectCommission	0.107468	0.756153	0	0	87
10.889724	1.279573	city	3	1	1.283991	1.283991	0	1	0	0	CorrectCommission	0.042637	0.727344	0	0	87
12.169290	1.279558	city	5	1	1.448504	1.448504	0	1	0	0	CorrectCommission	1.090820	0.695632	0	0	87
13.448899	1.279662	city	3	1	1.288793	1.288793	0	1	0	0	CorrectCommission	0.009551	0.663727	0	0	87
14.741878	1.306295	city	6	1	1.436520	1.436520	0	1	0	0	CorrectCommission	1.008252	0.634274	0	0	87
16.034672	1.279295	city	8	1	1.182329	1.182329	0	1	0	0	CorrectCommission	0.743060	0.609528	0	0	87
17.314178	1.279717	city	2	1	1.235020	1.235020	0	1	0	0	CorrectCommission	0.380036	0.591375	0	0	87
18.593822	1.279572	city	7	1	1.282480	1.282480	0	1	0	0	CorrectCommission	0.053045	0.581241	0	0	87
19.873442	1.279666	city	3	1	1.146916	1.146916	0	1	0	0	CorrectCommission	0.987051	0.580055	0	0	87
21.153040	1.279531	mountain	2	0	0.000000	1.273524	1	0	0	0	CorrectOmission	0.114747	0.588265	0	0	87
22.432646	1.279681	city	7	1	1.391705	1.391705	0	1	0	0	CorrectCommission	0.699488	0.605888	0	0	87
23.712273	1.279575	city	3	1	1.230855	1.230855	0	1	0	0	CorrectCommission	0.408728	0.632412	0	0	87
24.991838	1.279553	mountain	1	0	0.000000	1.296731	1	0	0	0	CorrectOmission	0.045138	0.666830	0	0	87
26.271355	1.279481	city	4	1	1.337906	1.337906	0	1	0	0	CorrectCommission	0.328825	0.707621	0	0	87
27.550850	1.279510	city	2	1	1.102955	1.102955	0	1	0	0	CorrectCommission	1.289931	0.752806	0	0	87
28.830395	1.279576	city	3	1	1.449407	1.449407	0	1	0	0	CorrectCommission	1.097044	0.800007	0	0	87
30.110004	1.279646	city	5	1	1.396130	1.396130	0	1	0	0	CorrectCommission	0.729978	0.846602	0	0	87
31.389606	1.279555	city	8	1	1.341536	1.341536	0	1	0	0	CorrectCommission	0.353839	0.889925	0	0	87
32.669243	1.279723	mountain	10	0	0.000000	1.392535	1	0	0	0	CorrectOmission	0.705211	0.927468	0	0	87
33.948868	1.279523	city	5	1	1.502420	1.502420	0	1	0	0	CorrectCommission	1.462292	0.957104	0	0	87
35.228371	1.279481	city	6	1	1.624484	1.624484	0	1	0	0	CorrectCommission	2.303283	0.977261	0	0	87
36.507969	1.279714	city	3	1	1.070494	1.070494	0	1	0	0	CorrectCommission	1.513576	0.987130	0	0	87
37.794277	1.292908	city	10	1	1.367737	1.367737	0	1	0	0	CorrectCommission	0.534358	0.986698	0	0	87
39.080463	1.279460	city	9	1	1.471255	1.471255	0	1	0	0	CorrectCommission	1.247567	0.976742	0	0	87
40.359989	1.279591	city	5	1	1.200263	1.200263	0	1	0	0	CorrectCommission	0.619498	0.958631	0	0	87
41.652916	1.306263	city	9	1	1.156254	1.156254	0	1	0	0	CorrectCommission	0.922708	0.934235	0	0	87
42.945881	1.279665	city	2	1	1.026129	1.026129	0	1	0	0	CorrectCommission	1.819242	0.905647	0	0	87
44.232136	1.292852	city	9	1	1.312996	1.312996	0	1	0	0	CorrectCommission	0.157200	0.875010	0	0	87
45.531635	1.306139	city	4	1	1.328254	1.328254	0	1	0	0	CorrectCommission	0.262324	0.844432	0	0	87
46.824570	1.279736	city	3	1	1.191814	1.191814	0	1	0	0	CorrectCommission	0.677715	0.815747	0	0	87
48.104187	1.279499	city	9	1	1.524545	1.524545	0	1	0	0	CorrectCommission	1.614722	0.790505	0	0	87
49.390434	1.292991	city	2	1	1.168136	1.168136	0	1	0	0	CorrectCommission	0.840846	0.769929	0	0	87
50.676632	1.279403	city	6	1	1.308983	1.308983	0	1	0	0	CorrectCommission	0.129555	0.754909	0	0	87
51.969460	1.306259	city	10	1	1.208690	1.208690	0	1	0	0	CorrectCommission	0.561440	0.746013	0	0	87
53.262463	1.279740	city	4	1	1.421740	1.421740	0	1	0	0	CorrectCommission	0.906425	0.743460	0	0	87
