sub-id,state,dwell time,RT variance,RT,dprime,mind wandering
sub-201,1,51.80555556,0.774315965,1.246575646,2.535974829,36.48519489
sub-202,1,51.38888889,0.779742516,1.178113424,2.612545773,57.40907982
sub-203,1,51.18055556,0.777702282,1.171284912,4.417383843,16.09553715
sub-204,1,49.30555556,0.799478327,1.368962038,5.051187149,2.270387465
sub-205,1,51.04166667,0.759849916,1.259521097,4.479808495,22.55716961
sub-206,1,54.44444444,0.773951972,1.292227131,3.330837061,11.78702242
sub-207,1,47.84722222,0.824645704,1.388702462,2.615114578,45.86457065
sub-208,1,50.69444444,0.801134252,1.193142873,3.656648829,43.18305682
sub-209,1,51.80555556,0.803751717,1.138895485,3.668445962,34.57960489
sub-210,1,52.63888889,0.80294233,1.321056656,0.798599139,28.9183273
sub-211,1,48.81944444,0.81086208,1.101299303,4.635482436,11.25342229
sub-212,1,49.93055556,0.812809476,1.263819428,2.036742015,49.43112629
sub-213,1,50.20833333,0.773228346,1.14131323,3.613328482,47.0808569
sub-214,1,52.15277778,0.765472217,1.360661648,3.191076909,49.0917247
sub-215,1,48.75,0.809489838,1.205135425,4.814410159,21.55602923
sub-216,1,52.77777778,0.757157083,1.006358778,4.635277096,4.570560132
sub-217,1,51.38888889,0.750688324,1.067214185,3.283221443,40.3694792
sub-218,1,50.90277778,0.772204232,1.153592162,5.144197493,10.23946637
sub-219,1,52.70833333,0.729711916,1.225202021,4.911847894,55.84628667
sub-220,1,53.40277778,0.800726832,1.387523507,2.398364174,74.42261295
sub-221,1,51.38888889,0.779249897,1.121786842,4.393948998,37.69797673
sub-222,1,50.76388889,0.771237651,1.194044424,4.087998717,47.55490212
sub-223,1,48.19444444,0.786084712,1.439497563,4.821726,0.454469424
sub-224,1,52.56944444,0.789529012,1.223922812,5.182002252,9.415864716
sub-225,1,51.875,0.754457174,1.147392944,4.368989044,42.51546671
sub-226,1,50.625,0.719320421,1.344398752,3.009338911,51.34958125
sub-227,1,51.25,0.797353003,1.396992264,3.684020135,21.94443722
sub-228,1,49.30555556,0.793228899,1.195273066,4.279074821,55.57743851
sub-229,1,49.23611111,0.770210492,1.528227306,2.401932481,46.27816195
sub-201,2,48.19444444,0.835726807,1.270356246,2.385109307,34.86894036
sub-202,2,48.61111111,0.82728671,1.189747263,2.481328399,56.26254416
sub-203,2,48.81944444,0.788366718,1.174081482,3.40062969,17.06556063
sub-204,2,50.69444444,0.790830359,1.378367344,5.089979203,1.999349178
sub-205,2,48.95833333,0.847693496,1.260524234,4.496080909,21.92834091
sub-206,2,45.55555556,0.754964381,1.309878581,3.219039346,11.71032686
sub-207,2,52.15277778,0.830469117,1.379081204,3.059842151,42.2274445
sub-208,2,49.30555556,0.811368766,1.219846211,3.301478172,41.19840637
sub-209,2,48.19444444,0.800351491,1.143076468,3.204225083,34.6139982
sub-210,2,47.36111111,0.810133095,1.371227761,1.029436794,28.13329604
sub-211,2,51.18055556,0.817297829,1.13141391,3.227256785,10.98079258
sub-212,2,50.06944444,0.80836565,1.29727856,1.945016697,46.99656061
sub-213,2,49.79166667,0.782155862,1.149934248,3.303563929,44.72739255
sub-214,2,47.84722222,0.831230135,1.368830026,2.69144923,47.92034071
sub-215,2,51.25,0.79299545,1.226343787,4.405647383,21.27800472
sub-216,2,47.22222222,0.812778597,1.025964887,4.69826614,3.992462206
sub-217,2,48.61111111,0.799041311,1.106145706,2.783573876,39.3394077
sub-218,2,49.09722222,0.803524757,1.168604649,4.054133898,10.38468338
sub-219,2,47.29166667,0.810021863,1.246855458,4.133183079,53.33358065
sub-220,2,46.59722222,0.814838256,1.404240303,1.925873143,74.08719921
sub-221,2,48.61111111,0.785823584,1.139428529,3.932559421,37.57356746
sub-222,2,49.23611111,0.823513841,1.225908805,3.397856102,48.05975536
sub-223,2,51.80555556,0.794405466,1.460961011,4.633456023,0.419702708
sub-224,2,47.43055556,0.826081791,1.245981063,4.681044941,9.0061353
sub-225,2,48.125,0.799605638,1.175011545,4.049988501,40.66370328
sub-226,2,49.375,0.793180889,1.343698855,2.585337743,50.99740544
sub-227,2,48.75,0.835044583,1.436271627,3.956508878,20.95228679
sub-228,2,50.69444444,0.806411021,1.192286445,3.446240622,51.97810779
sub-229,2,50.76388889,0.813113029,1.509640189,2.235668468,46.34648862
